# energy,pi_pi_eta,rho0_a,pi0_pi0_eta,omega_a,a_a,pi_rho
1.310805663440022e-01,1.744917040635423e-01,8.215687715738053e-02,1.815506202998020e-02,7.482819306479699e-03,0.000000000000000e+00,2.433393134766122e-04
1.335224649356927e-01,1.712889554432558e-01,8.064992157635371e-02,1.782178087897093e-02,7.345275012269410e-03,0.000000000000000e+00,2.388751888818727e-04
1.360098536324264e-01,1.681448905794607e-01,7.917052646551268e-02,1.749455056337073e-02,7.210296531821187e-03,0.000000000000000e+00,2.344927075919936e-04
1.385435798689262e-01,1.650581169742060e-01,7.771818780565742e-02,1.717332448872763e-02,7.078442399260330e-03,0.000000000000000e+00,2.301903765277470e-04
1.411245068667686e-01,1.620280373171757e-01,7.629241079550531e-02,1.685796707836293e-02,6.948307480666555e-03,0.000000000000000e+00,2.259667299164643e-04
1.437535139284759e-01,1.590532365059734e-01,7.489270968311522e-02,1.654842024304785e-02,6.820600162216435e-03,0.000000000000000e+00,2.218203287926560e-04
1.464314967370891e-01,1.561329435818937e-01,7.351860760039546e-02,1.624454514376068e-02,6.695848895515534e-03,0.000000000000000e+00,2.177497605077678e-04
1.491593676613193e-01,1.532660152077360e-01,7.216963640063749e-02,1.594612285165034e-02,6.572724240003182e-03,0.000000000000000e+00,2.137536382488991e-04
1.519380560663858e-01,1.504514197526878e-01,7.084533649902154e-02,1.565322695558698e-02,6.451896420685323e-03,0.000000000000000e+00,2.098306005663267e-04
1.547685086306433e-01,1.476884688118456e-01,6.954525671603867e-02,1.536571025413390e-02,6.333865418437118e-03,0.000000000000000e+00,2.059793109096673e-04
1.576516896681084e-01,1.449759741225950e-01,6.826895412377694e-02,1.508348725504098e-02,6.217373406553422e-03,0.000000000000000e+00,2.021984571725237e-04
1.605885814569940e-01,1.423130075588004e-01,6.701599389501846e-02,1.480633596968718e-02,6.103054510076680e-03,0.000000000000000e+00,1.984867512454592e-04
1.635801845743646e-01,1.396988718128068e-01,6.578594915509643e-02,1.453425459633494e-02,5.991381780122650e-03,0.000000000000000e+00,1.948429285771468e-04
1.666275182370246e-01,1.371324437723333e-01,6.457840083646141e-02,1.426714482363234e-02,5.881165144406984e-03,0.000000000000000e+00,1.912657477435453e-04
1.697316206487587e-01,1.346130521155879e-01,6.339293753590759e-02,1.400500841452748e-02,5.773004565319880e-03,0.000000000000000e+00,1.877539900249539e-04
1.728935493540394e-01,1.321396908433023e-01,6.222915537441001e-02,1.374764731241035e-02,5.667347611719887e-03,0.000000000000000e+00,1.843064589908022e-04
1.761143815983252e-01,1.297115276237636e-01,6.108665785952510e-02,1.349494869901575e-02,5.563068320716348e-03,0.000000000000000e+00,1.809219800920343e-04
1.793952146950696e-01,1.273277806517740e-01,5.996505575030836e-02,1.324689017331821e-02,5.460734338768137e-03,0.000000000000000e+00,1.775994002609467e-04
1.827371663995676e-01,1.249876871803545e-01,5.886396692470167e-02,1.300332375431763e-02,5.360769123493969e-03,0.000000000000000e+00,1.743375875183463e-04
1.861413752897670e-01,1.226903567712175e-01,5.778301624934661e-02,1.276425716503032e-02,5.262107361944940e-03,0.000000000000000e+00,1.711354305878913e-04
1.896090011541728e-01,1.204351100436377e-01,5.672183545177834e-02,1.252960291893078e-02,5.165286122375258e-03,0.000000000000000e+00,1.679918385174860e-04
1.931412253869788e-01,1.182209963420568e-01,5.568006299495705e-02,1.229918158030721e-02,5.070706054752128e-03,0.000000000000000e+00,1.649057403076008e-04
1.967392513905598e-01,1.160475093620068e-01,5.465734395409434e-02,1.207295517982329e-02,4.977359234314535e-03,0.000000000000000e+00,1.618760845463886e-04
