# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
4.242375374874803e+00,5.486751861757708e-03,4.684410454565417e-03,1.493833031062747e-03,2.980651436897021e-05,0.000000000000000e+00,4.582325285683224e-06,3.396285572094536e-06,8.196475307709340e-07,3.922833105817574e-07,0.000000000000000e+00
4.321406544347649e+00,5.378344273164541e-03,4.591210144247601e-03,1.464422806059867e-03,2.920919638565192e-05,0.000000000000000e+00,4.497775395539692e-06,3.331504722545531e-06,8.038681247041619e-07,3.844506155222483e-07,0.000000000000000e+00
4.401909984705630e+00,5.271721376032630e-03,4.499578299205795e-03,1.435557484321793e-03,2.862307786073168e-05,0.000000000000000e+00,4.414771896708042e-06,3.267915475776744e-06,7.883796599548406e-07,3.767533421324856e-07,0.000000000000000e+00
4.483913122868704e+00,5.167224019228639e-03,4.409418256730582e-03,1.407227135922983e-03,2.804812676739366e-05,0.000000000000000e+00,4.333286510514553e-06,3.205496044253038e-06,7.731768142418749e-07,3.692106270787373e-07,0.000000000000000e+00
4.567443896692652e+00,5.064735787250337e-03,4.321314678013126e-03,1.379422011042382e-03,2.748396973910698e-05,0.000000000000000e+00,4.253291475495032e-06,3.144225045100327e-06,7.582543628924700e-07,3.618066886200584e-07,0.000000000000000e+00
4.652530764487297e+00,4.963936729383446e-03,4.234695810979646e-03,1.352132536642482e-03,2.693151804748375e-05,0.000000000000000e+00,4.174759537936684e-06,3.084081494211793e-06,7.436071758645565e-07,3.545309303034142e-07,0.000000000000000e+00
4.739202714712039e+00,4.865149248559759e-03,4.149470174476440e-03,1.325349313175622e-03,2.638931633601656e-05,0.000000000000000e+00,4.097663942592968e-06,3.025044800827624e-06,7.292302176271110e-07,3.474014531079088e-07,0.000000000000000e+00
4.827489275852006e+00,4.768263146529891e-03,4.066190831039010e-03,1.299063111383326e-03,2.585577144008415e-05,0.000000000000000e+00,4.021978423568288e-06,2.967094762730289e-06,7.151185444852584e-07,3.404033290773090e-07,0.000000000000000e+00
4.917420526478187e+00,4.672975800829779e-03,3.984316923812469e-03,1.273264869121785e-03,2.533349206234323e-05,0.000000000000000e+00,3.947677195369382e-06,2.910211562290749e-06,7.012673035612411e-07,3.335265298127811e-07,0.000000000000000e+00
5.009027105494976e+00,4.579592169391923e-03,3.903761903564727e-03,1.247945688299223e-03,2.482100650286747e-05,0.000000000000000e+00,3.874734944120413e-06,2.854375763778879e-06,6.876717308828392e-07,3.267881761933595e-07,0.000000000000000e+00
5.102340222578617e+00,4.488007912306952e-03,3.825048864370397e-03,1.223096831813643e-03,2.431916694625815e-05,0.000000000000000e+00,3.803126818938696e-06,2.799568312717946e-06,6.743271514470381e-07,3.201741487117874e-07,0.000000000000000e+00
5.197391668810111e+00,4.397936822844339e-03,3.747666226553146e-03,1.198709720688936e-03,2.382638146860861e-05,0.000000000000000e+00,3.732828423468195e-06,2.745770538904943e-06,6.612289743932926e-07,3.136749564331896e-07,0.000000000000000e+00
5.294213827506194e+00,4.309667344089621e-03,3.671532134860327e-03,1.174775930947333e-03,2.334270388216973e-05,0.000000000000000e+00,3.663815807567864e-06,2.692964166964603e-06,6.483726979620358e-07,3.073067919691693e-07,0.000000000000000e+00
5.392839685252097e+00,4.223100668390004e-03,3.597141243385903e-03,1.151287191217834e-03,2.286767915145575e-05,0.000000000000000e+00,3.596065459151997e-06,2.641131345856187e-06,6.357539003573547e-07,3.010563008010491e-07,0.000000000000000e+00
5.493302843139823e+00,4.137966145687727e-03,3.524009787408819e-03,1.128235379288463e-03,2.240205365603105e-05,0.000000000000000e+00,3.529554296179843e-06,2.590254748405004e-06,6.233682476752514e-07,2.949145004244713e-07,0.000000000000000e+00
5.595637528215788e+00,4.054536551095772e-03,3.452060201428123e-03,1.105612520282884e-03,2.194658093747794e-05,0.000000000000000e+00,3.464259658791714e-06,2.540318551900359e-06,6.112114898724038e-07,2.888967050136670e-07,0.000000000000000e+00
5.699878605141725e+00,3.972718353370426e-03,3.381760378830932e-03,1.083410783028659e-03,2.149955863679676e-05,0.000000000000000e+00,3.400159301588940e-06,2.491308284300832e-06,5.992794728448039e-07,2.829902841228215e-07,0.000000000000000e+00
5.806061588072813e+00,3.892255580708926e-03,3.312652744806879e-03,1.061622478484912e-03,2.106025630978662e-05,0.000000000000000e+00,3.337231386055018e-06,2.443207193486494e-06,5.875681501489281e-07,2.771867356920801e-07,0.000000000000000e+00
5.914222652757077e+00,3.813406222825410e-03,3.244663882955858e-03,1.040240056400151e-03,2.062922888036244e-05,0.000000000000000e+00,3.275454473115391e-06,2.395998646247475e-06,5.760735473461952e-07,2.715005422685895e-07,0.000000000000000e+00
6.024398648860199e+00,3.736081696301727e-03,3.178236324215553e-03,1.019256103558377e-03,2.020673991721889e-05,0.000000000000000e+00,3.214807515833303e-06,2.349666313461139e-06,5.647917672869614e-07,2.659197585957478e-07,0.000000000000000e+00
