# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
7.904087000702436e-04,1.851620504267139e+01,5.714694321166751e+00,4.134816092197143e+00,1.640692111794881e+00,8.611805506189344e-01,4.348110526785023e-01,5.925817934901154e-04
8.125980204251782e-04,1.801058148533890e+01,5.558642171284350e+00,4.021905300147557e+00,1.595889963134624e+00,8.376640820540556e-01,4.229375270483207e-01,5.764003208188356e-04
8.354102665370927e-04,1.751876480769401e+01,5.406851281043278e+00,3.912077722277599e+00,1.552311210550055e+00,8.147897691947027e-01,4.113882274900726e-01,5.606607097715031e-04
8.588629259401909e-04,1.704037799026525e+01,5.259205289767261e+00,3.805249166372483e+00,1.509922447206847e+00,7.925400769272103e-01,4.001543004796436e-01,5.453508945925058e-04
8.829739771001422e-04,1.657505430871547e+01,5.115591014198921e+00,3.701337739223773e+00,1.468691178499022e+00,7.708979489629201e-01,3.892271342528999e-01,5.304591390014551e-04
9.077619031961033e-04,1.612243705271650e+01,4.975898361735199e+00,3.600263783851287e+00,1.428585797139059e+00,7.498467947630856e-01,3.785983522040394e-01,5.159740271963314e-04
9.332457062896602e-04,1.568217925250007e+01,4.840020246031917e+00,3.501949818439186e+00,1.389575558928208e+00,7.293704768207998e-01,3.682598064642045e-01,5.018844551022901e-04
9.594449218915233e-04,1.525394341287600e+01,4.707852504913012e+00,3.406320476939587e+00,1.351630559188442e+00,7.094532982902282e-01,3.582035716554489e-01,4.881796218594461e-04
9.863796339371715e-04,1.483740125451321e+01,4.579293820521287e+00,3.313302451298012e+00,1.314721709837962e+00,6.900799909536254e-01,3.484219388152553e-01,4.748490215430891e-04
1.014070490182896e-03,1.443223346228568e+01,4.454245641649664e+00,3.222824435256541e+00,1.278820717092707e+00,6.712357035169536e-01,3.389074094869598e-01,4.618824351099972e-04
1.042538718034076e-03,1.403812944049007e+01,4.332612108193231e+00,3.134817069691446e+00,1.243900059776740e+00,6.529059902250886e-01,3.296526899715437e-01,4.492699225646660e-04
1.071806140817790e-03,1.365478707474764e+01,4.214299977664321e+00,3.049212889443538e+00,1.209932968224936e+00,6.350767997879218e-01,3.206506857363911e-01,4.370018153394564e-04
1.101895194512264e-03,1.328191250040777e+01,4.099218553714156e+00,2.965946271600317e+00,1.176893403761726e+00,6.177344646088414e-01,3.118944959767227e-01,4.250687088828082e-04
1.132828944945961e-03,1.291921987727565e+01,3.987279616606386e+00,2.884953385190456e+00,1.144756038740250e+00,6.008656903073591e-01,3.033774083255421e-01,4.134614554498525e-04
1.164631105479513e-03,1.256643117049130e+01,3.878397355589093e+00,2.806172142251870e+00,1.113496237126538e+00,5.844575455278251e-01,2.950928937080303e-01,4.021711570898805e-04
1.197326055184026e-03,1.222327593739218e+01,3.772488303113561e+00,2.729542150236022e+00,1.083090035613898e+00,5.684974520264469e-01,2.870346013364561e-01,3.911891588253080e-04
1.230938857529735e-03,1.188949112019574e+01,3.669471270849227e+00,2.655004665711858e+00,1.053514125252984e+00,5.529731750289854e-01,2.791963538417513e-01,3.805070420168927e-04
1.265495279599276e-03,1.156482084434325e+01,3.569267287445952e+00,2.582502549333970e+00,1.024745833583509e+00,5.378728138517620e-01,2.715721425380336e-01,3.701166179101325e-04
1.301021811840370e-03,1.124901622235004e+01,3.471799537995687e+00,2.511980222040394e+00,9.967631072538563e-01,5.231847927787630e-01,2.641561228164325e-01,3.600099213578825e-04
1.337545688373003e-03,1.094183516301198e+01,3.376993305147315e+00,2.443383622446522e+00,9.695444951153122e-01,5.088978521878680e-01,2.569426096647001e-01,3.501792047143910e-04
1.375094907866707e-03,1.064304218582198e+01,3.284775911829423e+00,2.376660165402435e+00,9.430691317779246e-01,4.950010399193888e-01,2.499260733091629e-01,3.406169318960687e-04
1.413698255003932e-03,1.035240824045407e+01,3.195076665537117e+00,2.311758701681898e+00,9.173167216154030e-01,4.814837028803031e-01,2.431011349756787e-01,3.313157726044361e-04
1.453385322545960e-03,1.006971053117664e+01,3.107826804140171e+00,2.248629478772103e+00,8.922675232067837e-01,4.683354788777473e-01,2.364625627663456e-01,3.222685967068235e-04
1.494186534018288e-03,9.794732346060664e+00,3.022959443170997e+00,2.187224102734123e+00,8.679023342029485e-01,4.555462886755134e-01,2.300052676488070e-01,3.134684687705161e-04
1.536133167032847e-03,9.527262890851407e+00,2.940409524551997e+00,2.127495501104843e+00,8.442024766063868e-01,4.431063282674551e-01,2.237242995550742e-01,3.049086427461540e-04
1.579257377264977e-03,9.267097127376637e+00,2.860113766722971e+00,2.069397886811869e+00,8.211497824529090e-01,4.310060613618753e-01,2.176148435868744e-01,2.965825567963064e-04
1.623592223103481e-03,9.014035616367414e+00,2.782010616130419e+00,2.012886723073854e+00,7.987265798843600e-01,4.192362120711502e-01,2.116722163246232e-01,2.884838282652667e-04
1.669171690992718e-03,8.767884364570786e+00,2.706040200041466e+00,1.957918689259233e+00,7.769156796016227e-01,4.077877578009647e-01,2.058918622371808e-01,2.806062487861985e-04
1.716030721486100e-03,8.528454676037477e+00,2.632144280646330e+00,1.904451647677280e+00,7.557003616875587e-01,3.966519223337267e-01,2.002693501896504e-01,2.729437795218952e-04
1.764205236031021e-03,8.295563007470273e+00,2.560266210414035e+00,1.852444611275950e+00,7.350643627897604e-01,3.858201691008450e-01,1.948003700465340e-01,2.654905465354934e-04
1.813732164505703e-03,8.069030827522448e+00,2.490350888667272e+00,1.801857712221824e+00,7.149918636533068e-01,3.752841946387228e-01,1.894807293676463e-01,2.582408362876014e-04
1.864649473529113e-03,7.848684479938222e+00,2.422344719343003e+00,1.752652171337993e+00,6.954674769939487e-01,3.650359222234411e-01,1.843063501942503e-01,2.511890912563804e-04
