# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi,pi0_pi0
1.932272303290599e-03,0.000000000000000e+00,2.537799659591001e+00,9.384176728838847e+00,5.614710328529914e+00,4.456461824912460e-02,0.000000000000000e+00
1.986517416163059e-03,0.000000000000000e+00,2.468496645831517e+00,9.127917640615070e+00,5.461383025061051e+00,4.334765020198955e-02,0.000000000000000e+00
2.042285364230915e-03,0.000000000000000e+00,2.401086064424482e+00,8.878656126685188e+00,5.312242574858819e+00,4.216391346151788e-02,0.000000000000000e+00
2.099618898387471e-03,0.000000000000000e+00,2.335516239404165e+00,8.636201106818424e+00,5.167174649035483e+00,4.101250059243827e-02,0.000000000000000e+00
2.158561969681416e-03,0.000000000000000e+00,2.271736905901767e+00,8.400366718542839e+00,5.026068040640960e+00,3.989252893848649e-02,0.000000000000000e+00
2.219159763009075e-03,0.000000000000000e+00,2.209699171613095e+00,8.170972174665810e+00,4.888814579413145e+00,3.880313994577382e-02,0.000000000000000e+00
2.281458731752480e-03,0.000000000000000e+00,2.149355479318435e+00,7.947841624685230e+00,4.755309048856196e+00,3.774349850463243e-02,0.000000000000000e+00
2.345506633389850e-03,0.000000000000000e+00,2.090659570425896e+00,7.730804019985124e+00,4.625449105583114e+00,3.671279230943242e-02,0.000000000000000e+00
2.411352566105781e-03,0.000000000000000e+00,2.033566449510237e+00,7.519692982712234e+00,4.499135200860788e+00,3.571023123588023e-02,0.000000000000000e+00
2.479047006429199e-03,0.000000000000000e+00,1.978032349820038e+00,7.314346678233198e+00,4.376270504297389e+00,3.473504673532082e-02,0.000000000000000e+00
2.548641847927924e-03,0.000000000000000e+00,1.924014699726744e+00,7.114607691074502e+00,4.256760829613606e+00,3.378649124557959e-02,0.000000000000000e+00
2.620190440989513e-03,0.000000000000000e+00,1.871472090089886e+00,6.920322904250082e+00,4.140514562440846e+00,3.286383761789219e-02,0.000000000000000e+00
2.693747633718907e-03,0.000000000000000e+00,1.820364242513430e+00,6.731343381884061e+00,4.027442590090965e+00,3.196637855948282e-02,0.000000000000000e+00
2.769369813984159e-03,0.000000000000000e+00,1.770651978468957e+00,6.547524255038716e+00,3.917458233243817e+00,3.109342609136405e-02,0.000000000000000e+00
2.847114952642580e-03,0.000000000000000e+00,1.722297189261963e+00,6.368724610660027e+00,3.810477179500121e+00,3.024431102094198e-02,0.000000000000000e+00
2.927042647980317e-03,0.000000000000000e+00,1.675262806818308e+00,6.194807383555843e+00,3.706417418748845e+00,2.941838242902334e-02,0.000000000000000e+00
3.009214171399559e-03,0.000000000000000e+00,1.629512775268358e+00,6.025639251323657e+00,3.605199180299421e+00,2.861500717082991e-02,0.000000000000000e+00
3.093692514388268e-03,0.000000000000000e+00,1.585012023307091e+00,5.861090532147651e+00,3.506744871730734e+00,2.783356939063944e-02,0.000000000000000e+00
