# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
1.253089111295395e-03,3.055911823959580e+01,0.000000000000000e+00,5.859071289170531e-01,3.872802697093956e-03,3.744589421538499e-03,2.972390680749365e-03
1.288267362396810e-03,2.972462537810474e+01,0.000000000000000e+00,5.699076090644382e-01,3.767049474027636e-03,3.642336920653323e-03,2.891223138009915e-03
1.324433180415375e-03,2.891291971153226e+01,0.000000000000000e+00,5.543449823168677e-01,3.664184015989290e-03,3.542876591841209e-03,2.812272008018947e-03
1.361614289538200e-03,2.812337899818688e+01,0.000000000000000e+00,5.392073185923050e-01,3.564127467823351e-03,3.446132190268856e-03,2.735476767994998e-03
1.399839192259710e-03,2.735539798770590e+01,0.000000000000000e+00,5.244830135791493e-01,3.466803127643471e-03,3.352029553093046e-03,2.660778547830303e-03
1.439137191231234e-03,2.660838795707965e+01,0.000000000000000e+00,5.101607798405434e-01,3.372136388033988e-03,3.260496542608520e-03,2.588120084961867e-03
1.479538411723992e-03,2.588177625934473e+01,0.000000000000000e+00,4.962296381615870e-01,3.280054678856959e-03,3.171462990948243e-03,2.517445680474790e-03
1.521073824722682e-03,2.517500588460151e+01,0.000000000000000e+00,4.826789091328338e-01,3.190487411620967e-03,3.084860646293769e-03,2.448701156404316e-03
1.563775270667393e-03,2.448753503301826e+01,0.000000000000000e+00,4.694982049636097e-01,3.103365925369001e-03,3.000623120554372e-03,2.381833814203782e-03
1.607675483862010e-03,2.381883669949550e+01,0.000000000000000e+00,4.566774215188873e-01,3.018623434043989e-03,2.918685838474927e-03,2.316792394346699e-03
1.652808117567863e-03,2.316839826967145e+01,0.000000000000000e+00,4.442067305736002e-01,2.936194975291567e-03,2.838985988133443e-03,2.253527037031927e-03
1.699207769801816e-03,2.253572112695948e+01,0.000000000000000e+00,4.320765722784734e-01,2.856017360660899e-03,2.761462472790386e-03,2.191989243961906e-03
1.746910009858609e-03,2.192032027031582e+01,0.000000000000000e+00,4.202776478315789e-01,2.778029127165321e-03,2.686055864052785e-03,2.132131841164548e-03
1.795951405577748e-03,2.132172394244498e+01,0.000000000000000e+00,4.088009123500138e-01,2.702170490165741e-03,2.612708356317327e-03,2.073908942830377e-03
1.846369551375890e-03,2.073947326815734e+01,0.000000000000000e+00,3.976375679362218e-01,2.628383297540576e-03,2.541363722457392e-03,2.017275916137125e-03
1.898203097066158e-03,2.017312190260234e+01,0.000000000000000e+00,3.867790569336569e-01,2.556610985107214e-03,2.471967270720194e-03,1.962189347034877e-03
1.951491777486539e-03,1.962223568910684e+01,0.000000000000000e+00,3.762170553666059e-01,2.486798533260717e-03,2.404465802800852e-03,1.908607006965480e-03
2.006276442960011e-03,1.908639232635718e+01,0.000000000000000e+00,3.659434665591538e-01,2.418892424796617e-03,2.338807573061379e-03,1.856487820490761e-03
2.062599090609818e-03,1.856518104466896e+01,0.000000000000000e+00,3.559504149283867e-01,2.352840603885396e-03,2.274942248863203e-03,1.805791833804693e-03
2.120502896553848e-03,1.805820229109715e+01,0.000000000000000e+00,3.462302399470882e-01,2.288592436167247e-03,2.212820871982918e-03,1.756480184105383e-03
2.180032249002803e-03,1.756506742314459e+01,0.000000000000000e+00,3.367754902712899e-01,2.226098669936526e-03,2.152395821081631e-03,1.708515069803432e-03
2.241232782287563e-03,1.708539841083438e+01,0.000000000000000e+00,3.275789180281809e-01,2.165311398386110e-03,2.093620775199131e-03,1.661859721543780e-03
2.304151411841793e-03,1.661882754691754e+01,0.000000000000000e+00,3.186334732599930e-01,2.106184022882732e-03,2.036450678244916e-03,1.616478374018856e-03
2.368836370166633e-03,1.616499716499410e+01,0.000000000000000e+00,3.099322985196074e-01,2.048671217245157e-03,1.980841704458858e-03,1.572336238551414e-03
2.435337243805014e-03,1.572355936533126e+01,0.000000000000000e+00,3.014687236137366e-01,1.992728892997797e-03,1.926751224815024e-03,1.529399476426057e-03
2.503705011353996e-03,1.529417574816845e+01,0.000000000000000e+00,2.932362604896495e-01,1.938314165573126e-03,1.874137774342869e-03,1.487635172948948e-03
2.573992082544194e-03,1.487651715430519e+01,0.000000000000000e+00,2.852285982615284e-01,1.885385321436998e-03,1.822961020340816e-03,1.447011312215914e-03
2.646252338416334e-03,1.447026341277227e+01,0.000000000000000e+00,2.774395983726325e-01,1.833901786111661e-03,1.773181731457782e-03,1.407496752569497e-03
2.720541172625645e-03,1.407510309539355e+01,0.000000000000000e+00,2.698632898895738e-01,1.783824093071962e-03,1.724761747619010e-03,1.369061202726237e-03
2.796915533905851e-03,1.369073327804950e+01,0.000000000000000e+00,2.624938649250832e-01,1.735113853490877e-03,1.677663950773101e-03,1.331675198555798e-03
2.875433969725212e-03,1.331685930846018e+01,0.000000000000000e+00,2.553256741857729e-01,1.687733726811206e-03,1.631852236437875e-03,1.295310080494215e-03
2.956156671168183e-03,1.295319458030894e+01,0.000000000000000e+00,2.483532226414668e-01,1.641647392120841e-03,1.587291486023183e-03,1.259937971573871e-03
3.039145519076991e-03,1.259946031353435e+01,0.000000000000000e+00,2.415711653127946e-01,1.596819520309693e-03,1.543947539909530e-03,1.225531756053443e-03
3.124464131488613e-03,1.225538534062138e+01,0.000000000000000e+00,2.349743031738052e-01,1.553215746986905e-03,1.501787171261793e-03,1.192065058631353e-03
3.212177912403400e-03,1.192070589872844e+01,0.000000000000000e+00,2.285575791664728e-01,1.510802646137620e-03,1.460778060558028e-03,1.159512224226859e-03
3.302354101922861e-03,1.159516542749055e+01,0.000000000000000e+00,2.223160743240269e-01,1.469547704499084e-03,1.420888770813790e-03,1.127848298313242e-03
3.395061827794919e-03,1.127851437234396e+01,0.000000000000000e+00,2.162450040001469e-01,1.429419296636450e-03,1.382088723483001e-03,1.097049007788028e-03
3.490372158406234e-03,1.097050999322133e+01,0.000000000000000e+00,2.103397142011213e-01,1.390386660699191e-03,1.344348175016887e-03,1.067090742365587e-03
