# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
5.948725706999641e-01,1.625621501468437e-05,1.110097799338471e-05,5.543406350237431e-06,8.675589526304624e-08,0.000000000000000e+00,0.000000000000000e+00,1.953143391620617e-08,3.951637046602924e-09,1.224006381675162e-09,0.000000000000000e+00
6.031485699173323e-01,1.733502328419638e-05,1.183874936055024e-05,5.910873922430780e-06,9.252149322686900e-08,0.000000000000000e+00,0.000000000000000e+00,2.081792843169758e-08,4.212650183786997e-09,1.305284482339247e-09,0.000000000000000e+00
6.115397066724176e-01,1.842163522533590e-05,1.258199503351999e-05,6.280947437427894e-06,9.832984432543524e-08,0.000000000000000e+00,0.000000000000000e+00,2.211248825216399e-08,4.475393926608743e-09,1.387156849974465e-09,0.000000000000000e+00
6.200475827841962e-01,1.951889168040032e-05,1.333265922090939e-05,6.654594085223349e-06,1.041961403650923e-07,0.000000000000000e+00,0.000000000000000e+00,2.341848880965377e-08,4.740554083885562e-09,1.469837581661735e-09,0.000000000000000e+00
6.286738223565049e-01,2.062924325443942e-05,1.409241975799006e-05,7.032647634592497e-06,1.101334952067785e-07,0.000000000000000e+00,0.000000000000000e+00,2.473882995230117e-08,5.008720729547082e-09,1.553511384403593e-09,0.000000000000000e+00
6.374200720880739e-01,2.175484687169057e-05,1.486275549487514e-05,7.415841704678832e-06,1.161534622929661e-07,0.000000000000000e+00,0.000000000000000e+00,2.607605374489345e-08,5.280411985850814e-09,1.638340946150075e-09,0.000000000000000e+00
6.462880015868714e-01,2.289763748909473e-05,1.564499331654008e-05,7.804833659557487e-06,1.222664115687028e-07,0.000000000000000e+00,0.000000000000000e+00,2.743242904235640e-08,5.556091100656419e-09,1.724472217099997e-09,0.000000000000000e+00
6.552793036888220e-01,2.405937789491232e-05,1.644034357191378e-05,8.200222165920424e-06,1.284818008655295e-07,0.000000000000000e+00,0.000000000000000e+00,2.881001360490570e-08,5.836178992465197e-09,1.812038241642508e-09,0.000000000000000e+00
6.643956947809598e-01,2.524169783016245e-05,1.724992667704232e-05,8.602560357385738e-06,1.348083819645127e-07,0.000000000000000e+00,0.000000000000000e+00,3.021070063957073e-08,6.121063652884052e-09,1.901162054988926e-09,0.000000000000000e+00
6.736389151290759e-01,2.644612422762065e-05,1.807479246919861e-05,9.012365884091924e-06,1.412543603686101e-07,0.000000000000000e+00,0.000000000000000e+00,3.163625429792173e-08,6.411107320824304e-09,1.991958945679664e-09,0.000000000000000e+00
6.830107292099253e-01,2.767410268846828e-05,1.891593641118868e-05,9.430128710283354e-06,1.478275123817506e-07,0.000000000000000e+00,0.000000000000000e+00,3.308833718641069e-08,6.706652045333763e-09,2.084538172164837e-09,0.000000000000000e+00
6.925129260480553e-01,2.892701642012194e-05,1.977431195204406e-05,9.856317255055338e-06,1.545352873350392e-07,0.000000000000000e+00,0.000000000000000e+00,3.456853199797654e-08,7.008024062660398e-09,2.179004300440052e-09,0.000000000000000e+00
7.021473195573196e-01,3.020620090491254e-05,2.065083979691610e-05,1.029138329508080e-05,1.613848777387530e-07,0.000000000000000e+00,0.000000000000000e+00,3.607835874880902e-08,7.315537287045973e-09,2.275458270605872e-09,0.000000000000000e+00
7.119157488871438e-01,3.151295450910059e-05,2.154641617496692e-05,1.073576592933389e-05,1.683832874942098e-07,0.000000000000000e+00,0.000000000000000e+00,3.761928868322662e-08,7.629496129789415e-09,2.373998269979444e-09,0.000000000000000e+00
7.218200787736092e-01,3.284854822615865e-05,2.246191970798280e-05,1.118989482419731e-05,1.755373790679618e-07,0.000000000000000e+00,0.000000000000000e+00,3.919275562038677e-08,7.950197802744276e-09,2.474720506895127e-09,0.000000000000000e+00
7.318621998954183e-01,3.421423462294328e-05,2.339821638203234e-05,1.165419290025172e-05,1.828539156815072e-07,0.000000000000000e+00,0.000000000000000e+00,4.080016531424542e-08,8.277934221587085e-09,2.577719775419269e-09,0.000000000000000e+00
7.420440292348162e-01,3.561125366087804e-05,2.435616376373644e-05,1.212907858147237e-05,1.903396011515728e-07,0.000000000000000e+00,0.000000000000000e+00,4.244290325439364e-08,8.612993595175097e-09,2.683089949763213e-09,0.000000000000000e+00
7.523675104435295e-01,3.704083750891953e-05,2.533727880909125e-05,1.261496769829545e-05,1.980011015810190e-07,0.000000000000000e+00,0.000000000000000e+00,4.412234123168211e-08,8.955661766382052e-09,2.790924406879141e-09,0.000000000000000e+00
7.628346142137996e-01,3.850421682640758e-05,2.634496724445062e-05,1.311227511462589e-05,2.058450808542216e-07,0.000000000000000e+00,0.000000000000000e+00,4.583984291671924e-08,9.306223354499816e-09,2.901316364240080e-09,0.000000000000000e+00
7.734473386545757e-01,4.000262448833496e-05,2.737721979338359e-05,1.362141613302732e-05,2.138782160417887e-07,0.000000000000000e+00,0.000000000000000e+00,4.759676864320500e-08,9.664962737969200e-09,3.014359212718337e-09,0.000000000000000e+00
7.842077096729417e-01,4.153729879377672e-05,2.843469966751098e-05,1.414280772048433e-05,2.221072171471822e-07,0.000000000000000e+00,0.000000000000000e+00,4.939447954604152e-08,1.003216490772502e-08,3.130146819645182e-09,0.000000000000000e+00
7.951177813608508e-01,4.310948606984222e-05,2.951827378459845e-05,1.467686958816180e-05,2.305388508045397e-07,0.000000000000000e+00,0.000000000000000e+00,5.123434117236757e-08,1.040811621502612e-08,3.248773747286520e-09,0.000000000000000e+00
8.061796363872391e-01,4.472044506296481e-05,3.062881786033290e-05,1.522402515173682e-05,2.391799467651050e-07,0.000000000000000e+00,0.000000000000000e+00,5.311772665936617e-08,1.079310503273949e-08,3.370335466343303e-09,0.000000000000000e+00
8.173953863955953e-01,4.637144885765158e-05,3.176721793159341e-05,1.578470239359833e-05,2.480374166288474e-07,0.000000000000000e+00,0.000000000000000e+00,5.504601955395804e-08,1.118742234526857e-08,3.494928549989515e-09,0.000000000000000e+00
8.287671724070608e-01,4.806378699300044e-05,3.293437181234514e-05,1.635933464410345e-05,2.571182691608611e-07,0.000000000000000e+00,0.000000000000000e+00,5.702061633491914e-08,1.159136227937671e-08,3.622650847408704e-09,0.000000000000000e+00
8.402971652291381e-01,4.979876679210317e-05,3.413119144219419e-05,1.694836129586140e-05,2.664296153039191e-07,0.000000000000000e+00,0.000000000000000e+00,5.904292868653073e-08,1.200522258585189e-08,3.753601620223899e-09,0.000000000000000e+00
8.519875658700858e-01,5.157771683172465e-05,3.535860379826566e-05,1.755222846247468e-05,2.759786813947405e-07,0.000000000000000e+00,0.000000000000000e+00,6.111438556384219e-08,1.242930508013930e-08,3.887881741179358e-09,0.000000000000000e+00
8.638406059590775e-01,5.340198842894954e-05,3.661755207081961e-05,1.817138959114620e-05,2.857728235953587e-07,0.000000000000000e+00,0.000000000000000e+00,6.323643508243980e-08,1.286391604861967e-08,4.025593821031248e-09,0.000000000000000e+00
8.758585481722074e-01,5.527373586648888e-05,3.790899639900534e-05,1.880630603694361e-05,2.958195332014593e-07,0.000000000000000e+00,0.000000000000000e+00,6.541054625985786e-08,1.330936662605217e-08,4.166842331937331e-09,0.000000000000000e+00
8.880436866644215e-01,5.719490184115977e-05,3.923391592701152e-05,1.945744760520868e-05,3.061264416080761e-07,0.000000000000000e+00,0.000000000000000e+00,6.763821063112652e-08,1.376597314876528e-08,4.311733731837722e-09,0.000000000000000e+00
9.003983475074583e-01,5.916569031825964e-05,4.059330971764256e-05,2.012529306754426e-05,3.167013378943326e-07,0.000000000000000e+00,0.000000000000000e+00,6.992094375718252e-08,1.423405748742189e-08,4.460376581030002e-09,0.000000000000000e+00
9.129248891338830e-01,6.118755815158940e-05,4.198819762808649e-05,2.081033065595072e-05,3.275521739285009e-07,0.000000000000000e+00,0.000000000000000e+00,7.226028664179619e-08,1.471394736256573e-08,4.612881661920047e-09,0.000000000000000e+00
9.256257027872976e-01,6.326199382772613e-05,4.341962110532308e-05,2.151305853897889e-05,3.386870682042314e-07,0.000000000000000e+00,0.000000000000000e+00,7.465780707014191e-08,1.520597664565006e-08,4.769362085855602e-09,0.000000000000000e+00
9.385032129788161e-01,6.539051761696529e-05,4.488864402231387e-05,2.223398528318720e-05,3.501143147151649e-07,0.000000000000000e+00,0.000000000000000e+00,7.711510088005834e-08,1.571048564783112e-08,4.929933374485005e-09,0.000000000000000e+00
9.515598779498888e-01,6.757468231136504e-05,4.639635456783591e-05,2.297363030270939e-05,3.618423972798545e-07,0.000000000000000e+00,0.000000000000000e+00,7.963379317531373e-08,1.622782139846224e-08,5.094713612043610e-09,0.000000000000000e+00
9.647981901415670e-01,6.981607489025678e-05,4.794386575924873e-05,2.373252429934171e-05,3.738799924632534e-07,0.000000000000000e+00,0.000000000000000e+00,8.221553948874903e-08,1.675833791493638e-08,5.263823538539368e-09,0.000000000000000e+00
9.782206766702947e-01,7.211631898201528e-05,4.953231634075126e-05,2.451120969522401e-05,3.862359737549915e-07,0.000000000000000e+00,0.000000000000000e+00,8.486202690196253e-08,1.730239646528271e-08,5.437386643272293e-09,0.000000000000000e+00
9.918298998103207e-01,7.447707535150472e-05,5.116287144726405e-05,2.531024105991112e-05,3.989194207669952e-07,0.000000000000000e+00,0.000000000000000e+00,8.757497512717713e-08,1.786036582471997e-08,5.615529266142185e-09,0.000000000000000e+00
1.005628457482822e+00,7.690004319833700e-05,5.283672346066074e-05,2.613018553339496e-05,4.119396324955570e-07,0.000000000000000e+00,0.000000000000000e+00,9.035613755606753e-08,1.843262252719750e-08,5.798380698372456e-09,0.000000000000000e+00
