# energy,pi_pi,pi0_pi0
1.000742190082988e+00,8.720679876925509e-05,0.000000000000000e+00
1.013046830969776e+00,8.971007348127497e-05,0.000000000000000e+00
1.025502763756567e+00,9.227215801906174e-05,0.000000000000000e+00
1.038111848655233e+00,9.489451073997485e-05,0.000000000000000e+00
1.050875968749901e+00,9.757862136870237e-05,0.000000000000000e+00
1.063797030278195e+00,1.003260118592078e-04,0.000000000000000e+00
1.076876962915909e+00,1.031382372630437e-04,0.000000000000000e+00
1.090117720065196e+00,1.060168866051852e-04,0.000000000000000e+00
1.103521279146294e+00,1.089635837684401e-04,0.000000000000000e+00
1.117089641892844e+00,1.119799883874186e-04,0.000000000000000e+00
1.130824834650832e+00,1.150677967529695e-04,0.000000000000000e+00
1.144728908681213e+00,1.182287427279355e-04,0.000000000000000e+00
1.158803940466250e+00,1.214645986750215e-04,0.000000000000000e+00
1.173052032019629e+00,1.247771763975243e-04,0.000000000000000e+00
1.187475311200374e+00,1.281683280936316e-04,0.000000000000000e+00
1.202075932030634e+00,1.316399473249570e-04,0.000000000000000e+00
1.216856075017371e+00,1.351939699999510e-04,0.000000000000000e+00
1.231817947478002e+00,1.388323753727914e-04,0.000000000000000e+00
1.246963783870049e+00,1.425571870583394e-04,0.000000000000000e+00
1.262295846124842e+00,1.463704740637132e-04,0.000000000000000e+00
1.277816423985321e+00,1.502743518370244e-04,0.000000000000000e+00
1.293527835347995e+00,1.542709833337873e-04,0.000000000000000e+00
1.309432426609108e+00,1.583625801015103e-04,0.000000000000000e+00
1.325532573015049e+00,1.625514033829513e-04,0.000000000000000e+00
1.341830679017092e+00,1.668397652385124e-04,0.000000000000000e+00
1.358329178630474e+00,1.712300296882323e-04,0.000000000000000e+00
1.375030535797904e+00,1.757246138738262e-04,0.000000000000000e+00
1.391937244757538e+00,1.803259892412086e-04,0.000000000000000e+00
1.409051830415473e+00,1.850366827439313e-04,0.000000000000000e+00
1.426376848722830e+00,1.898592780679463e-04,0.000000000000000e+00
1.443914887057465e+00,1.947964168781127e-04,0.000000000000000e+00
1.461668564610376e+00,1.998508000868390e-04,0.000000000000000e+00
1.479640532776867e+00,2.050251891452591e-04,0.000000000000000e+00
