# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi
9.082261595370644e-01,0.000000000000000e+00,8.525165522415341e-06,1.815468963427474e-05,2.311408725578058e-05,1.968722701753511e-07
9.194081456887178e-01,0.000000000000000e+00,8.783423941817981e-06,1.870497703646366e-05,2.381220526822087e-05,2.028061551374126e-07
9.307278032925560e-01,0.000000000000000e+00,9.047728246105460e-06,1.926791819461354e-05,2.452656880500247e-05,2.088775470083499e-07
9.421868273452003e-01,0.000000000000000e+00,9.318235790659187e-06,1.984383754472419e-05,2.525759785014487e-05,2.150899836663065e-07
9.537869337118946e-01,0.000000000000000e+00,9.595107151931605e-06,2.043306599064025e-05,2.600572083310231e-05,2.214470732202006e-07
9.655298593834372e-01,0.000000000000000e+00,9.878506241880126e-06,2.103594113254858e-05,2.677137492805490e-05,2.279524964938758e-07
9.774173627362766e-01,0.000000000000000e+00,1.016860042169633e-05,2.165280749350734e-05,2.755500635081786e-05,2.346100094871774e-07
9.894512237958099e-01,0.000000000000000e+00,1.046556061515801e-05,2.228401674467898e-05,2.835707065424351e-05,2.414234458213185e-07
1.001633244502922e+00,0.000000000000000e+00,1.076956142189743e-05,2.292992792986594e-05,2.917803302289628e-05,2.483967191750960e-07
1.013965248983806e+00,0.000000000000000e+00,1.108078123084950e-05,2.359090768988538e-05,3.001836856770035e-05,2.555338257178218e-07
1.026449083823108e+00,0.000000000000000e+00,1.139940233411847e-05,2.426733048726501e-05,3.087856262118969e-05,2.628388465442308e-07
1.039086618340433e+00,0.000000000000000e+00,1.172561104147974e-05,2.495957883169542e-05,3.175911103393033e-05,2.703159501161171e-07
1.051879744870254e+00,0.000000000000000e+00,1.205959779571477e-05,2.566804350663396e-05,3.266052047263282e-05,2.779693947149961e-07
1.064830379045270e+00,0.000000000000000e+00,1.240155728896072e-05,2.639312379742018e-05,3.358330872042757e-05,2.858035309097049e-07
1.077940460083249e+00,0.000000000000000e+00,1.275168858024236e-05,2.713522772123239e-05,3.452800497973707e-05,2.938228040425123e-07
1.091211951077411e+00,0.000000000000000e+00,1.311019521434186e-05,2.789477225918821e-05,3.549515017814454e-05,3.020317567370149e-07
1.104646839290370e+00,0.000000000000000e+00,1.347728534215117e-05,2.867218359086935e-05,3.648529727763001e-05,3.104350314308432e-07
1.118247136451717e+00,0.000000000000000e+00,1.385317184264298e-05,2.946789733153012e-05,3.749901158751744e-05,3.190373729359698e-07
1.132014879059244e+00,0.000000000000000e+00,1.423807244658805e-05,3.028235877223177e-05,3.853687108145586e-05,3.278436310292141e-07
1.145952128683894e+00,0.000000000000000e+00,1.463220986213985e-05,3.111602312312941e-05,3.959946671873628e-05,3.368587630753738e-07
1.160060972278459e+00,0.000000000000000e+00,1.503581190240176e-05,3.196935576012439e-05,4.068740277023016e-05,3.460878366852464e-07
1.174343522490075e+00,0.000000000000000e+00,1.544911161508666e-05,3.284283247508327e-05,4.180129714921908e-05,3.555360324106828e-07
1.188801917976571e+00,0.000000000000000e+00,1.587234741437440e-05,3.373693972981408e-05,4.294178174737319e-05,3.652086464786852e-07
1.203438323726708e+00,0.000000000000000e+00,1.630576321506889e-05,3.465217491398094e-05,4.410950277612351e-05,3.751110935664643e-07
1.218254931384364e+00,0.000000000000000e+00,1.674960856915330e-05,3.558904660713077e-05,4.530512111366376e-05,3.852489096192729e-07
1.233253959576711e+00,0.000000000000000e+00,1.720413880483866e-05,3.654807484499744e-05,4.652931265780794e-05,3.956277547127515e-07
1.248437654246426e+00,0.000000000000000e+00,1.766961516819939e-05,3.752979139024348e-05,4.778276868492270e-05,4.062534159614472e-07
1.263808288987999e+00,0.000000000000000e+00,1.814630496748674e-05,3.853474000779302e-05,4.906619621514598e-05,4.171318104751014e-07
1.279368165388181e+00,0.000000000000000e+00,1.863448172020971e-05,3.956347674490522e-05,5.038031838409838e-05,4.282689883642432e-07
