# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
7.806253009728887e-01,6.267855598031318e-05,0.000000000000000e+00,1.612199640458401e-06,6.744810526713359e-09,0.000000000000000e+00,9.827367602979001e-09
7.910306838797745e-01,6.496534098574090e-05,0.000000000000000e+00,1.670663315003367e-06,6.991566061650284e-09,0.000000000000000e+00,1.018211716761241e-08
8.015747658440747e-01,6.730622857204625e-05,0.000000000000000e+00,1.730488974451357e-06,7.244199306359884e-09,0.000000000000000e+00,1.054503331901252e-08
8.122593956616196e-01,6.970293954150565e-05,0.000000000000000e+00,1.791719463455619e-06,7.502898101742828e-09,0.000000000000000e+00,1.091637069953648e-08
8.230864467718529e-01,7.215721562946305e-05,0.000000000000000e+00,1.854398094730231e-06,7.767852667713789e-09,0.000000000000000e+00,1.129638648069828e-08
8.340578175863208e-01,7.467082226314726e-05,0.000000000000000e+00,1.918568717466290e-06,8.039255847359333e-09,0.000000000000000e+00,1.168534076842139e-08
8.451754318215383e-01,7.724555111475680e-05,0.000000000000000e+00,1.984275780291148e-06,8.317303480256241e-09,0.000000000000000e+00,1.208349697426972e-08
8.564412388362933e-01,7.988322248312615e-05,0.000000000000000e+00,2.051564389654388e-06,8.602194661661500e-09,0.000000000000000e+00,1.249112215804772e-08
8.678572139734465e-01,8.258568753256126e-05,0.000000000000000e+00,2.120480364375737e-06,8.894131962410356e-09,0.000000000000000e+00,1.290848734624985e-08
8.794253589062871e-01,8.535483041279305e-05,0.000000000000000e+00,2.191070286969723e-06,9.193321660735975e-09,0.000000000000000e+00,1.333586783010124e-08
8.911477019895062e-01,8.819257028021999e-05,0.000000000000000e+00,2.263381552263803e-06,9.499973923871230e-09,0.000000000000000e+00,1.377354344632909e-08
9.030262986148468e-01,9.110086323751720e-05,0.000000000000000e+00,2.337462413746328e-06,9.814303058797654e-09,0.000000000000000e+00,1.422179884331082e-08
9.150632315714967e-01,9.408170420614192e-05,0.000000000000000e+00,2.413362028014460e-06,1.013652776563760e-08,0.000000000000000e+00,1.468092373483843e-08
