# energy,dnde
1.289286827914342e+00,1.683563349882806e-04
1.306445797724225e+00,1.731306764893297e-04
1.323833134285835e+00,1.780249636758475e-04
1.341451876905954e+00,1.830421712398138e-04
1.359305105341147e+00,1.881853412217650e-04
1.377395940336102e+00,1.934575844370366e-04
1.395727544169142e+00,1.988620819183201e-04
1.414303121204984e+00,2.044020863745309e-04
1.433125918454869e+00,2.100809236659330e-04
1.452199226144135e+00,2.159019942954079e-04
1.471526378287349e+00,2.218687749157076e-04
1.491110753271094e+00,2.279848198524681e-04
1.510955774444513e+00,2.342537626427087e-04
1.531064910717705e+00,2.406793175884830e-04
1.551441677168096e+00,2.472652813252852e-04
1.572089635654871e+00,2.540155344047583e-04
1.593012395441589e+00,2.609340428911839e-04
1.614213613827081e+00,2.680248599711663e-04
1.635696996784749e+00,2.752921275758586e-04
1.657466299610365e+00,2.827400780150036e-04
1.679525327578501e+00,2.903730356219885e-04
1.701877936607689e+00,2.981954184090375e-04
1.724528033934440e+00,3.062117397315803e-04
1.747479578796219e+00,3.144266099607509e-04
1.770736583123532e+00,3.228447381628885e-04
1.794303112241201e+00,3.314709337848070e-04
1.818183285578992e+00,3.403101083435138e-04
1.842381277391684e+00,3.493672771189493e-04
1.866901317488733e+00,3.586475608482144e-04
1.891747691973641e+00,3.681561874196386e-04
1.916924743993168e+00,3.778984935649273e-04
1.942436874496515e+00,3.878799265475000e-04
1.968288543004604e+00,3.981060458449994e-04
1.994484268389613e+00,4.085825248238265e-04
2.021028629664866e+00,4.193151524033968e-04
2.047926266785248e+00,4.303098347076794e-04
2.075181881458268e+00,4.415725967014154e-04
2.102800237965920e+00,4.531095838082477e-04
2.130786163997477e+00,4.649270635078274e-04
2.159144551493371e+00,4.770314269087710e-04
2.187880357500309e+00,4.894291902941671e-04
2.216998605037759e+00,5.021269966361157e-04
2.246504383975975e+00,5.151316170755894e-04
2.276402851925710e+00,5.284499523636787e-04
2.306699235139763e+00,5.420890342600563e-04
2.337398829426530e+00,5.560560268842591e-04
2.368507001075709e+00,5.703582280151233e-04
2.400029187796330e+00,5.850030703334635e-04
2.431970899667267e+00,5.999981226027906e-04
2.464337720100397e+00,6.153510907825840e-04
2.497135306816583e+00,6.310698190683357e-04
2.530369392834644e+00,6.471622908522464e-04
2.564045787473483e+00,6.636366295981503e-04
2.598170377367561e+00,6.805010996238679e-04
2.632749127495879e+00,6.977641067838391e-04
2.667788082224654e+00,7.154341990445088e-04
2.703293366363877e+00,7.335200669445177e-04
2.739271186237933e+00,7.520305439313648e-04
2.775727830770455e+00,7.709746065657315e-04
2.812669672583645e+00,7.903613745842420e-04
2.850103169112194e+00,8.102001108109136e-04
2.888034863732048e+00,8.305002209070812e-04
2.926471386904190e+00,8.512712529490396e-04
2.965419457333643e+00,8.725228968221020e-04
3.004885883143903e+00,8.942649834192012e-04
3.044877563066994e+00,9.165074836315520e-04
3.085401487649372e+00,9.392605071182831e-04
3.126464740473871e+00,9.625343008412669e-04
3.168074499397909e+00,9.863392473507065e-04
3.210238037808184e+00,1.010685862806323e-03
3.252962725892058e+00,1.035584794718216e-03
3.296256031925866e+00,1.061046819390709e-03
3.340125523580378e+00,1.087082839051668e-03
3.384578869243614e+00,1.113703878648902e-03
3.429623839361293e+00,1.140921082294396e-03
3.475268307795095e+00,1.168745709336166e-03
3.521520253199024e+00,1.197189130036546e-03
3.568387760414064e+00,1.226262820834718e-03
3.615879021881420e+00,1.255978359170212e-03
3.664002339074555e+00,1.286347417842987e-03
3.712766123950278e+00,1.317381758884547e-03
3.762178900419170e+00,1.349093226913338e-03
3.812249305835550e+00,1.381493741946372e-03
3.862986092507293e+00,1.414595291637747e-03
3.914398129225729e+00,1.448409922913274e-03
3.966494402815912e+00,1.482949732969071e-03
4.019284019707514e+00,1.518226859600369e-03
4.072776207526628e+00,1.554253470825288e-03
4.126980316708764e+00,1.591041753766640e-03
4.181905822133294e+00,1.628603902753098e-03
4.237562324779675e+00,1.666952106599328e-03
4.293959553405686e+00,1.706098535022714e-03
4.351107366248026e+00,1.746055324152466e-03
4.409015752745534e+00,1.786834561084738e-03
4.467694835285329e+00,1.828448267435349e-03
4.527154870972224e+00,1.870908381839437e-03
4.587406253421650e+00,1.914226741345034e-03
4.648459514576473e+00,1.958415061645170e-03
4.710325326547973e+00,2.003484916090565e-03
4.773014503481323e+00,2.049447713422312e-03
4.836538003445917e+00,2.096314674161263e-03
4.900906930350825e+00,2.144096805587858e-03
4.966132535885764e+00,2.192804875243260e-03
