# energy,pi_pi_eta,rho0_a,pi0_pi0_eta,omega_a,a_a,pi_rho
8.351236694820707e-01,3.378196213809365e-05,1.877431253122576e-05,3.904264083050432e-06,1.974902301543852e-06,0.000000000000000e+00,6.783984110294209e-08
8.465968497104636e-01,3.498616440069774e-05,1.943612707389778e-05,4.043358234554364e-06,2.044989234764044e-06,0.000000000000000e+00,7.024138028754164e-08
8.582276519406790e-01,3.622099126424711e-05,2.011435274232361e-05,4.185985352540622e-06,2.116841086282749e-06,0.000000000000000e+00,7.270304909002268e-08
8.700182416312003e-01,3.748737711992423e-05,2.080947823280118e-05,4.332253103805195e-06,2.190511210068132e-06,0.000000000000000e+00,7.522665503076373e-08
8.819708139902316e-01,3.878627422559712e-05,2.152200062537126e-05,4.482271204990057e-06,2.266053932291639e-06,0.000000000000000e+00,7.781403809167955e-08
8.940875943844070e-01,4.011865378645589e-05,2.225242598473037e-05,4.636151548482690e-06,2.343524622827052e-06,0.000000000000000e+00,8.046707276382301e-08
9.063708387531174e-01,4.148550699995568e-05,2.300126984298286e-05,4.794008323287419e-06,2.422979759632091e-06,0.000000000000000e+00,8.318766980520316e-08
9.188228340285276e-01,4.288784608400312e-05,2.376905753438222e-05,4.955958130366725e-06,2.504476978196674e-06,0.000000000000000e+00,8.597777822400406e-08
9.314458985613647e-01,4.432670526656757e-05,2.455632495003349e-05,5.122120091698544e-06,2.588075126435104e-06,0.000000000000000e+00,8.883938747887698e-08
9.442423825525554e-01,4.580314175209781e-05,2.536361894857651e-05,5.292615960849019e-06,2.673834318253543e-06,0.000000000000000e+00,9.177452898317291e-08
9.572146684907940e-01,4.731823667203109e-05,2.619149775058007e-05,5.467570239676385e-06,2.761815986079433e-06,0.000000000000000e+00,9.478527782962827e-08
9.703651715961210e-01,4.887309602861845e-05,2.704053138023800e-05,5.647110285712198e-06,2.852082931582610e-06,0.000000000000000e+00,9.787375452822854e-08
9.836963402695968e-01,5.046885162451264e-05,2.791130209925685e-05,5.831366420671454e-06,2.944699377992826e-06,0.000000000000000e+00,1.010421266805142e-07
9.972106565491521e-01,5.210666201405654e-05,2.880440483464509e-05,6.020472033156517e-06,3.039731021703823e-06,0.000000000000000e+00,1.042926106448777e-07
1.010910636571701e+00,5.378771342726344e-05,2.972044760188846e-05,6.214563684109102e-06,3.137245080749909e-06,0.000000000000000e+00,1.076274731946797e-07
1.024798831041605e+00,5.551322070616064e-05,3.066005192480445e-05,6.413781210007869e-06,3.237310335518182e-06,0.000000000000000e+00,1.110490331702535e-07
1.038877825705567e+00,5.728442824128339e-05,3.162385325320541e-05,6.618267840421523e-06,3.339997198185102e-06,0.000000000000000e+00,1.145596631290982e-07
1.053150241834058e+00,5.910261090858338e-05,3.261250135828087e-05,6.828170302525866e-06,3.445377758414962e-06,0.000000000000000e+00,1.181617909980747e-07
1.067618736709352e+00,6.096907501740078e-05,3.362666060245955e-05,7.043638930070821e-06,3.553525831303938e-06,0.000000000000000e+00,1.218579017309885e-07
1.082286004120263e+00,6.288515928215953e-05,3.466701065369764e-05,7.264827775356222e-06,3.664517008730181e-06,0.000000000000000e+00,1.256505389745091e-07
1.097154774863691e+00,6.485223580414914e-05,3.573424681315584e-05,7.491894716629680e-06,3.778428711153668e-06,0.000000000000000e+00,1.295423064679821e-07
1.112227817253041e+00,6.687171104886039e-05,3.682908039299135e-05,7.725001564179191e-06,3.895340239942014e-06,0.000000000000000e+00,1.335358700021064e-07
