# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
9.033212731842434e-01,4.107558473216530e-05,1.018082699197043e-05,5.512899649050225e-06,0.000000000000000e+00,1.416213222654836e-06,5.979621648280438e-07,0.000000000000000e+00
9.145784883167479e-01,4.232706772170609e-05,1.049242113966208e-05,5.682533918986477e-06,0.000000000000000e+00,1.459646936279692e-06,6.163547574133216e-07,0.000000000000000e+00
9.259759911810943e-01,4.360760227002126e-05,1.081131674647809e-05,5.856186387926143e-06,0.000000000000000e+00,1.504102679650605e-06,6.351826963976513e-07,0.000000000000000e+00
9.375155300469455e-01,4.491793882820045e-05,1.113770448697541e-05,6.033963267385384e-06,0.000000000000000e+00,1.549607269297307e-06,6.544574796870513e-07,0.000000000000000e+00
9.491988749709500e-01,4.625884237490322e-05,1.147177884179866e-05,6.215972959767268e-06,0.000000000000000e+00,1.596188064040246e-06,6.741908418422633e-07,0.000000000000000e+00
9.610278180682525e-01,4.763109294505830e-05,1.181373823666971e-05,6.402326138629183e-06,0.000000000000000e+00,1.643872984820302e-06,6.943947627473510e-07,0.000000000000000e+00
9.730041737873869e-01,4.903548615119487e-05,1.216378517989698e-05,6.593135828367210e-06,0.000000000000000e+00,1.692690534344222e-06,7.150814762134025e-07,0.000000000000000e+00
9.851297791885953e-01,5.047283369914334e-05,1.252212639884538e-05,6.788517483562533e-06,0.000000000000000e+00,1.742669816607705e-06,7.362634785438746e-07,0.000000000000000e+00
9.974064942256173e-01,5.194396389963866e-05,1.288897297575788e-05,6.988589068208437e-06,0.000000000000000e+00,1.793840556351217e-06,7.579535370852495e-07,0.000000000000000e+00
1.009836202030987e+00,5.344972217718587e-05,1.326454048327723e-05,7.193471135014043e-06,0.000000000000000e+00,1.846233118497753e-06,7.801646987841957e-07,0.000000000000000e+00
1.022420809204891e+00,5.499097157739674e-05,1.364904911998034e-05,7.403286904961713e-06,0.000000000000000e+00,1.899878527616774e-06,8.029102987703940e-07,0.000000000000000e+00
1.035162246107619e+00,5.656859327387658e-05,1.404272384620570e-05,7.618162347278281e-06,0.000000000000000e+00,1.954808487454160e-06,8.262039689823203e-07,0.000000000000000e+00
1.048062467155666e+00,5.818348707562808e-05,1.444579452042751e-05,7.838226259966277e-06,0.000000000000000e+00,2.011055400564347e-06,8.500596468517771e-07,0.000000000000000e+00
1.061123451121521e+00,5.983657193584132e-05,1.485849603640665e-05,8.063610351028774e-06,0.000000000000000e+00,2.068652388077517e-06,8.744915840616123e-07,0.000000000000000e+00
