# energy,pi_pi_pi0,pi_pi_a,mu_mu
7.075074898501327e-01,8.787645390829740e-06,1.828475747506018e-06,4.121153200549307e-10
7.164173281226501e-01,9.129316478486260e-06,1.899487578387665e-06,4.280392830476559e-10
7.254393704625186e-01,9.477982666665503e-06,1.971948029541919e-06,4.442827972566143e-10
7.345750298867137e-01,9.833912910523227e-06,2.045912776866156e-06,4.608581184385339e-10
7.438257372067264e-01,1.019737448004683e-05,2.121437130479194e-06,4.777774044744844e-10
7.531929412526537e-01,1.056863388815889e-05,2.198576227524108e-06,4.950527584984701e-10
7.626781091001128e-01,1.094795770076035e-05,2.277385200352165e-06,5.126962664232028e-10
7.722827263000112e-01,1.133561324992439e-05,2.357919324505940e-06,5.307200298634301e-10
7.820082971112114e-01,1.173186926724095e-05,2.440234150042473e-06,5.491361952583831e-10
7.918563447361259e-01,1.213699645103656e-05,2.524385619054850e-06,5.679569798402218e-10
8.018284115592775e-01,1.255126797862690e-05,2.610430171715759e-06,5.871946949741236e-10
8.119260593888661e-01,1.297495997273107e-05,2.698424842743986e-06,6.068617672998575e-10
8.221508697013754e-01,1.340835192956416e-05,2.788427349858798e-06,6.269707580284958e-10
8.325044438892623e-01,1.385172711483318e-05,2.880496175518105e-06,6.475343806869054e-10
8.429884035117627e-01,1.430537293282135e-05,2.974690643019544e-06,6.685655175534879e-10
8.536043905488591e-01,1.476958127290327e-05,3.071070987868068e-06,6.900772349888065e-10
8.643540676584431e-01,1.524464883714638e-05,3.169698425170451e-06,7.120827978322572e-10
8.752391184367193e-01,1.573087745209255e-05,3.270635213700040e-06,7.345956830093272e-10
8.862612476818866e-01,1.622857436735042e-05,3.373944717178561e-06,7.576295924720948e-10
8.974221816611408e-01,1.673805254324696e-05,3.479691463242095e-06,7.811984655774725e-10
9.087236683810404e-01,1.725963092946866e-05,3.587941200492064e-06,8.053164909926599e-10
9.201674778612748e-01,1.779363473635844e-05,3.698760953976885e-06,8.299981182046637e-10
9.317554024118841e-01,1.834039570031223e-05,3.812219079403652e-06,8.552580687002376e-10
9.434892569139658e-01,1.890025234453304e-05,3.928385316340365e-06,8.811113468736871e-10
9.553708791039186e-01,1.947355023624326e-05,4.047330840636443e-06,9.075732507125351e-10
9.674021298612667e-01,2.006064224132325e-05,4.169128316261516e-06,9.346593823046394e-10
9.795848935001064e-01,2.066188877723126e-05,4.293851946738925e-06,9.623856582050043e-10
9.919210780642247e-01,2.127765806496406e-05,4.421577526330346e-06,9.907683196958590e-10
1.004412615625934e+00,2.190832638073561e-05,4.552382491110758e-06,1.019823942969670e-09
1.017061462588669e+00,2.255427830798131e-05,4.686345970058418e-06,1.049569449261319e-09
1.029869599993398e+00,2.321590699023515e-05,4.823548836271828e-06,1.080022114952770e-09
1.042839033828886e+00,2.389361438537558e-05,4.964073758414933e-06,1.111199581671018e-09
1.055971795345873e+00,2.458781152169152e-05,5.108005252482355e-06,1.143119866397879e-09
1.069269941375203e+00,2.529891875618171e-05,5.255429733968573e-06,1.175801371608320e-09
1.082735554649962e+00,2.602736603546733e-05,5.406435570517768e-06,1.209262895452309e-09
1.096370744131672e+00,2.677359315966954e-05,5.561113135125223e-06,1.243523641993718e-09
1.110177645340594e+00,2.753805004957845e-05,5.719554859955717e-06,1.278603231518540e-09
1.124158420690187e+00,2.832119701741902e-05,5.881855290839943e-06,1.314521710923512e-09
1.138315259825784e+00,2.912350504150028e-05,6.048111142505894e-06,1.351299564195250e-09
1.152650379967529e+00,2.994545604501882e-05,6.218421354598794e-06,1.388957722989121e-09
1.167166026257637e+00,3.078754317927254e-05,6.392887148539989e-06,1.427517577316249e-09
1.181864472112020e+00,3.165027111152982e-05,6.571612085272758e-06,1.467000986346341e-09
1.196748019576348e+00,3.253415631778743e-05,6.754702123940549e-06,1.507430289333422e-09
1.211818999686594e+00,3.343972738064254e-05,6.942265681541174e-06,1.548828316670906e-09
1.227079772834110e+00,3.436752529249542e-05,7.134413693598766e-06,1.591218401081970e-09
1.242532729135315e+00,3.531810376429372e-05,7.331259675893790e-06,1.634624388950674e-09
