# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi,pi0_pi0
6.732841021438725e-01,0.000000000000000e+00,3.703453301798069e-06,7.783759714064495e-06,1.006715280307958e-05,8.585585494220416e-08,0.000000000000000e+00
6.826329975014030e-01,0.000000000000000e+00,3.876505562239791e-06,8.145760593259584e-06,1.053562057832773e-05,8.984644241435990e-08,0.000000000000000e+00
6.921117070697962e-01,0.000000000000000e+00,4.053146323404922e-06,8.515158811045920e-06,1.101369601512281e-05,9.391867464001266e-08,0.000000000000000e+00
7.017220333860036e-01,0.000000000000000e+00,4.233621453765937e-06,8.892306963729597e-06,1.150195588556661e-05,9.807601833253724e-08,0.000000000000000e+00
7.114658040161284e-01,0.000000000000000e+00,4.417928141872046e-06,9.277695580464203e-06,1.200074761383002e-05,1.023241077034695e-07,0.000000000000000e+00
7.213448719029665e-01,0.000000000000000e+00,4.606350902653378e-06,9.671624330085875e-06,1.251070586084600e-05,1.066664636372058e-07,0.000000000000000e+00
7.313611157183760e-01,0.000000000000000e+00,4.799056879603783e-06,1.007450353779385e-05,1.303223183160683e-05,1.111063338143867e-07,0.000000000000000e+00
7.415164402205382e-01,0.000000000000000e+00,4.996120674818912e-06,1.048664939674883e-05,1.356588812900305e-05,1.156484662191261e-07,0.000000000000000e+00
7.518127766161792e-01,0.000000000000000e+00,5.197752227674388e-06,1.090847254255935e-05,1.411197126843387e-05,1.202978726225128e-07,0.000000000000000e+00
7.622520829278218e-01,0.000000000000000e+00,5.404218232844189e-06,1.134033508555572e-05,1.467115642878474e-05,1.250565688657817e-07,0.000000000000000e+00
7.728363443661368e-01,0.000000000000000e+00,5.615678053180592e-06,1.178262480237914e-05,1.524388823434059e-05,1.299303731841493e-07,0.000000000000000e+00
7.835675737074641e-01,0.000000000000000e+00,5.832315854047629e-06,1.223563863361236e-05,1.583049875348731e-05,1.349218183583189e-07,0.000000000000000e+00
7.944478116765760e-01,0.000000000000000e+00,6.054333866399770e-06,1.269982702595360e-05,1.643169190028434e-05,1.400373387181212e-07,0.000000000000000e+00
8.054791273347561e-01,0.000000000000000e+00,6.281893244972774e-06,1.317566783107715e-05,1.704769333460890e-05,1.452787344910538e-07,0.000000000000000e+00
8.166636184732661e-01,0.000000000000000e+00,6.515190393743377e-06,1.366311968784772e-05,1.767921110189911e-05,1.506504777845872e-07,0.000000000000000e+00
8.280034120122755e-01,0.000000000000000e+00,6.754417417284272e-06,1.416319926260296e-05,1.832665588700484e-05,1.561536186353578e-07,0.000000000000000e+00
8.395006644053328e-01,0.000000000000000e+00,6.999747091908521e-06,1.467568381210931e-05,1.899066772769388e-05,1.617937866341312e-07,0.000000000000000e+00
8.511575620494505e-01,0.000000000000000e+00,7.251392810771160e-06,1.520122229524587e-05,1.967168165968998e-05,1.675759351517025e-07,0.000000000000000e+00
8.629763217008863e-01,0.000000000000000e+00,7.509539052600615e-06,1.574031157520024e-05,2.037032901340166e-05,1.735072731708428e-07,0.000000000000000e+00
8.749591908966960e-01,0.000000000000000e+00,7.774388705117778e-06,1.629351427118616e-05,2.108686870217161e-05,1.796250384902778e-07,0.000000000000000e+00
