# energy,pi_pi,pi0_pi0
1.004331247996198e+00,8.794925682712479e-05,0.000000000000000e+00
1.018276902901634e+00,9.080026893941460e-05,0.000000000000000e+00
1.032416200383789e+00,9.372475105444399e-05,0.000000000000000e+00
1.046751829269238e+00,9.672663735274699e-05,0.000000000000000e+00
1.061286515720294e+00,9.980976761948616e-05,0.000000000000000e+00
1.076023023753432e+00,1.029740204791607e-04,0.000000000000000e+00
1.090964155764915e+00,1.062231622473434e-04,0.000000000000000e+00
1.106112753063717e+00,1.095584587718903e-04,0.000000000000000e+00
1.121471696411845e+00,1.129844828842402e-04,0.000000000000000e+00
1.137043906572164e+00,1.164999809752808e-04,0.000000000000000e+00
1.152832344863834e+00,1.201119360189471e-04,0.000000000000000e+00
1.168840013725449e+00,1.238186725295721e-04,0.000000000000000e+00
1.185069957286004e+00,1.276261168500428e-04,0.000000000000000e+00
1.201525261943788e+00,1.315346199321803e-04,0.000000000000000e+00
1.218209056953315e+00,1.355489577437655e-04,0.000000000000000e+00
1.235124515020405e+00,1.396697895369773e-04,0.000000000000000e+00
1.252274852905524e+00,1.439027495171724e-04,0.000000000000000e+00
1.269663332035511e+00,1.482478083847645e-04,0.000000000000000e+00
1.287293259123790e+00,1.527108561959366e-04,0.000000000000000e+00
1.305167986799197e+00,1.572924785471210e-04,0.000000000000000e+00
1.323290914243542e+00,1.619983048398183e-04,0.000000000000000e+00
1.341665487838019e+00,1.668298963450997e-04,0.000000000000000e+00
1.360295201818593e+00,1.717910885786316e-04,0.000000000000000e+00
1.379183598940489e+00,1.768858070728395e-04,0.000000000000000e+00
1.398334271151909e+00,1.821178393426143e-04,0.000000000000000e+00
1.417750860277096e+00,1.874887310722480e-04,0.000000000000000e+00
1.437437058708894e+00,1.930059488269457e-04,0.000000000000000e+00
1.457396610110918e+00,1.986689851079646e-04,0.000000000000000e+00
1.477633310129471e+00,2.044860983650682e-04,0.000000000000000e+00
1.498151007115357e+00,2.104574389323252e-04,0.000000000000000e+00
1.518953602855703e+00,2.165909339693928e-04,0.000000000000000e+00
1.540045053315954e+00,2.228865929433149e-04,0.000000000000000e+00
1.561429369392166e+00,2.293525733837608e-04,0.000000000000000e+00
1.583110617673747e+00,2.359915723009455e-04,0.000000000000000e+00
1.605092921216783e+00,2.428081340760560e-04,0.000000000000000e+00
1.627380460328114e+00,2.498073506840191e-04,0.000000000000000e+00
1.649977473360283e+00,2.569936970198351e-04,0.000000000000000e+00
1.672888257517536e+00,2.643727855760432e-04,0.000000000000000e+00
1.696117169673004e+00,2.719490346573003e-04,0.000000000000000e+00
1.719668627197239e+00,2.797270322357042e-04,0.000000000000000e+00
1.743547108798249e+00,2.877141505967655e-04,0.000000000000000e+00
1.767757155373204e+00,2.959134167047840e-04,0.000000000000000e+00
1.792303370871960e+00,3.043310057026735e-04,0.000000000000000e+00
1.817190423172581e+00,3.129761311960538e-04,0.000000000000000e+00
1.842423044969014e+00,3.218476484050831e-04,0.000000000000000e+00
1.868006034671090e+00,3.309592794753112e-04,0.000000000000000e+00
1.893944257317025e+00,3.403106905049565e-04,0.000000000000000e+00
1.920242645498585e+00,3.499120478826713e-04,0.000000000000000e+00
1.946906200299108e+00,3.597695294742689e-04,0.000000000000000e+00
1.973939992244539e+00,3.698874003668520e-04,0.000000000000000e+00
2.001349162267679e+00,3.802758332440666e-04,0.000000000000000e+00
2.029138922685821e+00,3.909377112912172e-04,0.000000000000000e+00
2.057314558191958e+00,4.018846498766599e-04,0.000000000000000e+00
2.085881426859757e+00,4.131196834615453e-04,0.000000000000000e+00
2.114844961162489e+00,4.246544220449609e-04,0.000000000000000e+00
2.144210669006106e+00,4.364929115403410e-04,0.000000000000000e+00
2.173984134776660e+00,4.486443080933762e-04,0.000000000000000e+00
2.204171020402270e+00,4.611181778362135e-04,0.000000000000000e+00
2.234777066429834e+00,4.739186565565060e-04,0.000000000000000e+00
2.265808093116689e+00,4.870606957294024e-04,0.000000000000000e+00
2.297270001537433e+00,5.005462309702279e-04,0.000000000000000e+00
2.329168774706116e+00,5.143870522970522e-04,0.000000000000000e+00
2.361510478714007e+00,5.285926703934750e-04,0.000000000000000e+00
2.394301263883165e+00,5.431715140104556e-04,0.000000000000000e+00
2.427547365936030e+00,5.581341668759848e-04,0.000000000000000e+00
2.461255107181249e+00,5.734878995934750e-04,0.000000000000000e+00
2.495430897715967e+00,5.892454300345861e-04,0.000000000000000e+00
2.530081236644823e+00,6.054131929104720e-04,0.000000000000000e+00
2.565212713315855e+00,6.220060774305610e-04,0.000000000000000e+00
2.600832008573583e+00,6.390322589950007e-04,0.000000000000000e+00
2.636945896029483e+00,6.565019796753754e-04,0.000000000000000e+00
2.673561243350102e+00,6.744302259338393e-04,0.000000000000000e+00
2.710685013563064e+00,6.928202115879801e-04,0.000000000000000e+00
2.748324266381204e+00,7.116924406656472e-04,0.000000000000000e+00
2.786486159545094e+00,7.310545389628795e-04,0.000000000000000e+00
2.825177950184208e+00,7.509174904580237e-04,0.000000000000000e+00
2.864406996196988e+00,7.712997893553848e-04,0.000000000000000e+00
2.904180757650071e+00,7.922043097188900e-04,0.000000000000000e+00
2.944506798196953e+00,8.136538164265896e-04,0.000000000000000e+00
2.985392786516336e+00,8.356556768365824e-04,0.000000000000000e+00
3.026846497770465e+00,8.582228895590637e-04,0.000000000000000e+00
3.068875815083705e+00,8.813771611211459e-04,0.000000000000000e+00
3.111488731041644e+00,9.051214934352710e-04,0.000000000000000e+00
3.154693349211030e+00,9.294794455643169e-04,0.000000000000000e+00
3.198497885680791e+00,9.544626883626297e-04,0.000000000000000e+00
3.242910670624469e+00,9.800808474059177e-04,0.000000000000000e+00
3.287940149884338e+00,1.006361210811060e-03,0.000000000000000e+00
3.333594886577533e+00,1.033308577982702e-03,0.000000000000000e+00
3.379883562724460e+00,1.060945014279929e-03,0.000000000000000e+00
3.426814980899838e+00,1.089287146349795e-03,0.000000000000000e+00
3.474398065906657e+00,1.118344606013994e-03,0.000000000000000e+00
3.522641866473370e+00,1.148145111047823e-03,0.000000000000000e+00
3.571555556974678e+00,1.178697094496545e-03,0.000000000000000e+00
3.621148439176177e+00,1.210025391078600e-03,0.000000000000000e+00
3.671429944003256e+00,1.242144283408988e-03,0.000000000000000e+00
3.722409633334546e+00,1.275070082983085e-03,0.000000000000000e+00
3.774097201820267e+00,1.308829279255250e-03,0.000000000000000e+00
3.826502478725836e+00,1.343430811808378e-03,0.000000000000000e+00
3.879635429801064e+00,1.378906301739849e-03,0.000000000000000e+00
3.933506159175314e+00,1.415267744698285e-03,0.000000000000000e+00
3.988124911278976e+00,1.452533854681487e-03,0.000000000000000e+00
4.043502072791607e+00,1.490736083131370e-03,0.000000000000000e+00
4.099648174617148e+00,1.529878134030135e-03,0.000000000000000e+00
4.156573893886539e+00,1.570002899865619e-03,0.000000000000000e+00
4.214290055988174e+00,1.611119122188296e-03,0.000000000000000e+00
4.272807636626512e+00,1.653245143583189e-03,0.000000000000000e+00
4.332137763909306e+00,1.696421909046998e-03,0.000000000000000e+00
4.392291720463803e+00,1.740645890369963e-03,0.000000000000000e+00
4.453280945582308e+00,1.785969172866085e-03,0.000000000000000e+00
4.515117037397585e+00,1.832400862764366e-03,0.000000000000000e+00
4.577811755088414e+00,1.879956842215541e-03,0.000000000000000e+00
4.641377021115813e+00,1.928688163962432e-03,0.000000000000000e+00
4.705824923490296e+00,1.978586576579677e-03,0.000000000000000e+00
4.771167718070598e+00,2.029706709066564e-03,0.000000000000000e+00
4.837417830894351e+00,2.082064174904553e-03,0.000000000000000e+00
4.904587860541092e+00,2.135671333058178e-03,0.000000000000000e+00
4.972690580528107e+00,2.190586508189945e-03,0.000000000000000e+00
5.041738941739526e+00,2.246800601153706e-03,0.000000000000000e+00
5.111746074889147e+00,2.304368957718629e-03,0.000000000000000e+00
5.182725293017478e+00,2.363311623877684e-03,0.000000000000000e+00
5.254690094023418e+00,2.423641674840012e-03,0.000000000000000e+00
5.327654163231132e+00,2.485419349567557e-03,0.000000000000000e+00
5.401631375992523e+00,2.548638137863470e-03,0.000000000000000e+00
5.476635800325890e+00,2.613354947790787e-03,0.000000000000000e+00
5.552681699591176e+00,2.679590135756246e-03,0.000000000000000e+00
5.629783535202407e+00,2.747361970749832e-03,0.000000000000000e+00
5.707955969377766e+00,2.816730161474659e-03,0.000000000000000e+00
5.787213867927850e+00,2.887686585062114e-03,0.000000000000000e+00
5.867572303082683e+00,2.960296230499958e-03,0.000000000000000e+00
5.949046556357926e+00,3.034577713314344e-03,0.000000000000000e+00
6.031652121460936e+00,3.110550184494785e-03,0.000000000000000e+00
6.115404707237151e+00,3.188276803067602e-03,0.000000000000000e+00
6.200320240657383e+00,3.267746602186935e-03,0.000000000000000e+00
6.286414869846622e+00,3.349031474861555e-03,0.000000000000000e+00
6.373704967154847e+00,3.432148595778038e-03,0.000000000000000e+00
6.462207132270533e+00,3.517115095553699e-03,0.000000000000000e+00
6.551938195377346e+00,3.604000029638503e-03,0.000000000000000e+00
6.642915220354687e+00,3.692789718252247e-03,0.000000000000000e+00
6.735155508022691e+00,3.783558013815554e-03,0.000000000000000e+00
6.828676599432248e+00,3.876323964411444e-03,0.000000000000000e+00
6.923496279200759e+00,3.971101265484697e-03,0.000000000000000e+00
7.019632578894151e+00,4.067961940090066e-03,0.000000000000000e+00
7.117103780455910e+00,4.166892743707707e-03,0.000000000000000e+00
7.215928419683691e+00,4.267964537232722e-03,0.000000000000000e+00
7.316125289754207e+00,4.371198562553983e-03,0.000000000000000e+00
7.417713444797084e+00,4.476606190568467e-03,0.000000000000000e+00
7.520712203518312e+00,4.584257960189499e-03,0.000000000000000e+00
7.625141152874034e+00,4.694143254327209e-03,0.000000000000000e+00
7.731020151795335e+00,4.806326452595351e-03,0.000000000000000e+00
7.838369334964745e+00,4.920830184331279e-03,0.000000000000000e+00
7.947209116645205e+00,5.037663626626716e-03,0.000000000000000e+00
8.057560194562164e+00,5.156892122677947e-03,0.000000000000000e+00
8.169443553839622e+00,5.278506938263383e-03,0.000000000000000e+00
8.282880470990802e+00,5.402564354851259e-03,0.000000000000000e+00
8.397892517964220e+00,5.529086549255061e-03,0.000000000000000e+00
8.514501566245983e+00,5.658079558341349e-03,0.000000000000000e+00
8.632729791018997e+00,5.789599922325016e-03,0.000000000000000e+00
8.752599675379976e+00,5.923640782037523e-03,0.000000000000000e+00
8.874134014614976e+00,6.060245747336295e-03,0.000000000000000e+00
8.997355920534282e+00,6.199436079468765e-03,0.000000000000000e+00
9.122288825867551e+00,6.341211811459911e-03,0.000000000000000e+00
9.248956488719898e+00,6.485615764223510e-03,0.000000000000000e+00
9.377382997089942e+00,6.632642790282744e-03,0.000000000000000e+00
9.507592773450510e+00,6.782320456062549e-03,0.000000000000000e+00
9.639610579393013e+00,6.934664218579648e-03,0.000000000000000e+00
9.773461520336268e+00,7.089667563173226e-03,0.000000000000000e+00
9.909171050300706e+00,7.247352774475238e-03,0.000000000000000e+00
1.004676497674892e+01,7.407716708165952e-03,0.000000000000000e+00
1.018626946549334e+01,7.570762967349265e-03,0.000000000000000e+00
1.032771104567216e+01,7.736499405678559e-03,0.000000000000000e+00
1.047111661479426e+01,7.904908867785462e-03,0.000000000000000e+00
1.061651344385423e+01,8.075985529803690e-03,0.000000000000000e+00
1.076392918251844e+01,8.249728279806497e-03,0.000000000000000e+00
1.091339186438306e+01,8.426106745808962e-03,0.000000000000000e+00
1.106492991230512e+01,8.605118878955861e-03,0.000000000000000e+00
1.121857214380764e+01,8.786730641293320e-03,0.000000000000000e+00
1.137434777655970e+01,8.970899345154590e-03,0.000000000000000e+00
1.153228643393274e+01,9.157625305394738e-03,0.000000000000000e+00
1.169241815063392e+01,9.346831896113112e-03,0.000000000000000e+00
1.185477337841770e+01,9.538503209007392e-03,0.000000000000000e+00
1.201938299187681e+01,9.732581440898017e-03,0.000000000000000e+00
1.218627829431353e+01,9.928975394625584e-03,0.000000000000000e+00
1.235549102369258e+01,1.012668966526967e-02,0.000000000000000e+00
