# energy,pi_pi,pi0_pi0
6.473191110533800e-01,4.606660613629499e-02,0.000000000000000e+00
6.654914453479785e-01,4.478898429097217e-02,0.000000000000000e+00
6.841739356507580e-01,4.354627042729344e-02,0.000000000000000e+00
7.033809036855262e-01,4.233751185641193e-02,0.000000000000000e+00
7.231270732330458e-01,4.116178191674474e-02,0.000000000000000e+00
7.434275814180760e-01,4.001817926347768e-02,0.000000000000000e+00
7.642979903132641e-01,3.890582717747111e-02,0.000000000000000e+00
7.857542988688092e-01,3.782387289303538e-02,0.000000000000000e+00
8.078129551770175e-01,3.677148694406168e-02,0.000000000000000e+00
8.304908690811750e-01,3.574786252800522e-02,0.000000000000000e+00
8.538054251383802e-01,3.475221488723420e-02,0.000000000000000e+00
8.777744959462974e-01,3.378378070726831e-02,0.000000000000000e+00
9.024164558440223e-01,3.284181753144678e-02,0.000000000000000e+00
9.277501949975882e-01,3.192560319157491e-02,0.000000000000000e+00
9.537951338808839e-01,3.103443525411393e-02,0.000000000000000e+00
9.805712381631125e-01,3.016763048148759e-02,0.000000000000000e+00
1.008099034014174e+00,2.932452430809330e-02,0.000000000000000e+00
1.036399623839732e+00,2.850447033061432e-02,0.000000000000000e+00
1.065494702458010e+00,2.770683981224282e-02,0.000000000000000e+00
1.095406573730714e+00,2.693102120043254e-02,0.000000000000000e+00
1.126158167660859e+00,2.617641965781049e-02,0.000000000000000e+00
1.157773057970558e+00,2.544245660588825e-02,0.000000000000000e+00
1.190275480172312e+00,2.472856928122149e-02,0.000000000000000e+00
1.223690350147579e+00,2.403421030367753e-02,0.000000000000000e+00
1.258043283246942e+00,2.335884725647840e-02,0.000000000000000e+00
1.293360613926450e+00,2.270196227769762e-02,0.000000000000000e+00
1.329669415935233e+00,2.206305166289584e-02,0.000000000000000e+00
1.366997523069838e+00,2.144162547859060e-02,0.000000000000000e+00
1.405373550511217e+00,2.083720718626253e-02,0.000000000000000e+00
1.444826916760695e+00,2.024933327660909e-02,0.000000000000000e+00
1.485387866191778e+00,1.967755291376449e-02,0.000000000000000e+00
1.527087492235030e+00,1.912142758921220e-02,0.000000000000000e+00
1.569957761213860e+00,1.858053078512335e-02,0.000000000000000e+00
1.614031536849420e+00,1.805444764686254e-02,0.000000000000000e+00
