# energy,pi_pi
7.547454071195356e-02,1.184497701475200e-06
7.688055519459881e-02,1.228964251051325e-06
7.831276230732516e-02,1.275098610046131e-06
7.977164999238286e-02,1.322963248455607e-06
8.125771528189359e-02,1.372622971340830e-06
8.277146446718557e-02,1.424145005834196e-06
8.431341327128328e-02,1.477599091371754e-06
8.588408702461033e-02,1.533057573270343e-06
8.748402084396568e-02,1.590595499772583e-06
8.911375981483396e-02,1.650290722687185e-06
9.077385917709194e-02,1.712224001756732e-06
9.246488451417462e-02,1.776479112889831e-06
9.418741194576534e-02,1.843142960399545e-06
9.594202832407536e-02,1.912305693395086e-06
9.772933143378010e-02,1.984060826479161e-06
9.954993019567983e-02,2.058505364908786e-06
1.014044448741545e-01,2.135739934383161e-06
1.032935072884830e-01,2.215868915628032e-06
1.052177610280998e-01,2.299000583952179e-06
1.071778616718601e-01,2.385247253957873e-06
1.091744770113916e-01,2.474725429593829e-06
1.112082872786057e-01,2.567555959745847e-06
1.132799853774473e-01,2.663864199567445e-06
1.153902771199621e-01,2.763780177760003e-06
1.175398814667616e-01,2.867438770019467e-06
1.197295307719677e-01,2.974979878874434e-06
1.219599710327197e-01,3.086548620148534e-06
1.242319621433306e-01,3.202295516288314e-06
1.265462781541771e-01,3.322376696806433e-06
1.289037075354127e-01,3.446954106098998e-06
1.313050534455940e-01,3.576195718904962e-06
1.337511340053101e-01,3.710275763685154e-06
1.362427825759109e-01,3.849374954208381e-06
1.387808480434267e-01,3.993680729642165e-06
1.413661951077771e-01,4.143387503456370e-06
1.439997045773685e-01,4.298696921458838e-06
1.466822736691782e-01,4.459818129293422e-06
1.494148163144299e-01,4.626968049742563e-06
1.521982634699632e-01,4.800371670188611e-06
1.550335634354035e-01,4.980262340600544e-06
1.579216821762408e-01,5.166882082425730e-06
1.608636036529266e-01,5.360481908779684e-06
1.638603301561023e-01,5.561322156340550e-06
1.669128826480716e-01,5.769672829369386e-06
1.700223011106352e-01,5.985813956291984e-06
1.731896448994045e-01,6.210035959293251e-06
1.764159931047164e-01,6.442640037390908e-06
1.797024449192710e-01,6.683938563471473e-06
1.830501200126186e-01,6.934255495788462e-06
1.864601589126226e-01,7.193926804439847e-06
1.899337233940287e-01,7.463300913359986e-06
1.934719968742733e-01,7.742739158379636e-06
1.970761848166643e-01,8.032616261926750e-06
2.007475151410742e-01,8.333320824960626e-06
2.044872386422825e-01,8.645255836752255e-06
2.082966294161127e-01,8.968839203144757e-06
2.121769852935068e-01,9.304504293949687e-06
2.161296282826867e-01,9.652700510157121e-06
2.201559050195528e-01,1.001389387166084e-05
2.242571872264724e-01,1.038856762622363e-05
2.284348721796154e-01,1.077722288043239e-05
2.326903831849959e-01,1.118037925341826e-05
2.370251700633818e-01,1.159857555414287e-05
2.414407096442379e-01,1.203237048307917e-05
2.459385062688709e-01,1.248234335914299e-05
2.505200923029467e-01,1.294909487276012e-05
2.551870286585565e-01,1.343324786598346e-05
2.599409053260076e-01,1.393544814060518e-05
2.647833419155210e-01,1.445636529524023e-05
2.697159882090210e-01,1.499669359239009e-05
2.747405247222031e-01,1.555715285652860e-05
2.798586632770734e-01,1.613848940428662e-05
2.850721475851533e-01,1.674147700784702e-05
2.903827538415492e-01,1.736691789269824e-05
2.957922913300889e-01,1.801564377093216e-05
3.013026030397309e-01,1.868851691131008e-05
3.069155662924569e-01,1.938643124736080e-05
3.126330933828618e-01,2.011031352481540e-05
3.184571322296577e-01,2.086112448972462e-05
3.243896670393152e-01,2.163986011864885e-05
