# energy,pi_pi_pi0,mu_mu,pi_pi
1.054944816126866e-01,6.922273104076104e-07,2.468075356169629e-09,4.967124714951752e-10
1.074597372815177e-01,7.181661095580727e-07,2.560273340642334e-09,5.152928278363035e-10
1.094616036790318e-01,7.450750757272291e-07,2.655903472159523e-09,5.345662893129189e-10
1.115007628261363e-01,7.729903924733202e-07,2.755092826247559e-09,5.545586007811422e-10
1.135779094490996e-01,8.019495869808902e-07,2.857973143786185e-09,5.752964570493756e-10
1.156937512162389e-01,8.319915796167416e-07,2.964680999997151e-09,5.968075375660065e-10
1.178490089790175e-01,8.631567352941528e-07,3.075357979420339e-09,6.191205423525977e-10
1.200444170176337e-01,8.954869167102036e-07,3.190150857081580e-09,6.422652292260495e-10
1.222807232911844e-01,9.290255395233310e-07,3.309211786062956e-09,6.662724523546555e-10
1.245586896924892e-01,9.638176295405490e-07,3.432698491692937e-09,6.911742021944652e-10
1.268790923076617e-01,9.999098819861995e-07,3.560774472580612e-09,7.170036468538971e-10
1.292427216805159e-01,1.037350722926574e-06,3.693609208725313e-09,7.437951749361248e-10
1.316503830818991e-01,1.076190372927330e-06,3.831378376940090e-09,7.715844399103820e-10
1.341028967840412e-01,1.116480913023276e-06,3.974264073834896e-09,8.004084060649979e-10
1.366010983400154e-01,1.158276353082846e-06,4.122455046613028e-09,8.303053960967093e-10
1.391458388684052e-01,1.201632702652407e-06,4.276146931941959e-09,8.613151403925427e-10
1.417379853432736e-01,1.246608044368477e-06,4.435542503167872e-09,8.934788280624029e-10
1.443784208895351e-01,1.293262610028947e-06,4.600851926151223e-09,9.268391597823592e-10
1.470680450838296e-01,1.341658859417503e-06,4.772293024009075e-09,9.614404025105522e-10
1.498077742610016e-01,1.391861561978663e-06,4.950091551058506e-09,9.973284461396137e-10
1.525985418262881e-01,1.443937881444171e-06,5.134481476264146e-09,1.034550862151541e-09
1.554412985733235e-01,1.497957463514883e-06,5.325705276501780e-09,1.073156964343023e-09
1.583370130080675e-01,1.553992526705851e-06,5.524014239959281e-09,1.113197871691407e-09
1.612866716787678e-01,1.612117956465877e-06,5.729668780005199e-09,1.154726573433623e-09
1.642912795120697e-01,1.672411402686652e-06,5.942938759865161e-09,1.197797996432723e-09
1.673518601553873e-01,1.734953380720391e-06,6.164103828455811e-09,1.242469074908950e-09
1.704694563256523e-01,1.799827376028881e-06,6.393453767735922e-09,1.288798822614633e-09
1.736451301645600e-01,1.867119952590997e-06,6.631288851944579e-09,1.336848407534684e-09
1.768799636004331e-01,1.936920865199925e-06,6.877920219106428e-09,1.386681229196903e-09
1.801750587168263e-01,2.009323175785746e-06,7.133670255194693e-09,1.438362998678902e-09
1.835315381279981e-01,2.084423373903491e-06,7.398872991353145e-09,1.491961821401068e-09
1.869505453613770e-01,2.162321501531418e-06,7.673874514589105e-09,1.547548282797642e-09
