# energy,pi_pi_pi0,pi_pi_a,mu_mu
4.334382277045939e-02,4.840775002616709e-08,1.009187821531532e-08,2.295402604578223e-12
4.415127442201774e-02,5.022726531842698e-08,1.047117237891634e-08,2.381640344342319e-12
4.497376808251603e-02,5.211515460649613e-08,1.086471788723210e-08,2.471116448839277e-12
4.581158396939206e-02,5.407398631101446e-08,1.127304997802007e-08,2.563952434531402e-12
4.666500752025155e-02,5.610642527957811e-08,1.169672397770145e-08,2.660274372575605e-12
4.753432949011459e-02,5.821523640384995e-08,1.213631605457746e-08,2.760213059252504e-12
4.841984605047370e-02,6.040328837217754e-08,1.259242400024397e-08,2.863904192756109e-12
4.932185889019725e-02,6.267355756278524e-08,1.306566804025790e-08,2.971488556580494e-12
5.024067531831258e-02,6.502913208279568e-08,1.355669167514745e-08,3.083112209748696e-12
5.117660836870394e-02,6.747321595853193e-08,1.406616255289964e-08,3.198926684137968e-12
5.212997690676072e-02,7.000913348275468e-08,1.459477337409996e-08,3.319089189165076e-12
5.310110573801256e-02,7.264033372469947e-08,1.514324283094329e-08,3.443762824104902e-12
5.409032571878811e-02,7.537039520899725e-08,1.571231658138037e-08,3.573116798325849e-12
5.509797386893538e-02,7.820303076978893e-08,1.630276825971082e-08,3.707326659735828e-12
5.612439348664183e-02,8.114209258657843e-08,1.691540052498290e-08,3.846574531743599e-12
5.716993426539346e-02,8.419157740861275e-08,1.755104614861048e-08,3.991049359051350e-12
5.823495241311290e-02,8.735563197483175e-08,1.821056914267022e-08,4.140947162606105e-12
5.931981077351663e-02,9.063855863668885e-08,1.889486593039594e-08,4.296471304049536e-12
6.042487894973318e-02,9.404482119142044e-08,1.960486656044421e-08,4.457832760018372e-12
6.155053343022418e-02,9.757905093361904e-08,2.034153596656289e-08,4.625250406660412e-12
6.269715771705114e-02,1.012460529332603e-07,2.110587527435532e-08,4.798951314744676e-12
6.386514245653173e-02,1.050508125486362e-07,2.189892315689563e-08,4.979171055758097e-12
6.505488557233004e-02,1.089985021829604e-07,2.272175724101564e-08,5.166154019395563e-12
6.626679240102623e-02,1.130944882937384e-07,2.357549556615144e-08,5.360153742865091e-12
6.750127583021169e-02,1.173443386643333e-07,2.446129809770781e-08,5.561433252445374e-12
6.875875643915666e-02,1.217538299475062e-07,2.538036829697095e-08,5.770265417748949e-12
7.003966264209856e-02,1.263289554910770e-07,2.633395474967565e-08,5.986933319160960e-12
7.134443083419942e-02,1.310759334562242e-07,2.732335285541067e-08,6.211730628940568e-12
7.267350554022250e-02,1.360012152393369e-07,2.834990658012725e-08,6.444962006490012e-12
7.402733956597855e-02,1.411114942087331e-07,2.941501027409935e-08,6.686943508314793e-12
7.540639415259334e-02,1.464137147679817e-07,3.052011055777133e-08,6.938003013217516e-12
7.681113913364906e-02,1.519150817579989e-07,3.166670827801870e-08,7.198480663287988e-12
7.824205309525316e-02,1.576230702105428e-07,3.285636053744136e-08,7.468729321272380e-12
7.969962353908895e-02,1.635454354661944e-07,3.409068279940488e-08,7.749115044925978e-12
8.118434704850386e-02,1.696902236704052e-07,3.537135107164690e-08,8.040017578975698e-12
8.269672945769177e-02,1.760657826616880e-07,3.670010417136886e-08,8.341830865341818e-12
8.423728602402668e-02,1.826807732665494e-07,3.807874607484116e-08,8.654963572291520e-12
8.580654160360722e-02,1.895441810163122e-07,3.950914835466280e-08,8.979839643222011e-12
8.740503083007120e-02,1.966653283015229e-07,4.099325270793113e-08,9.316898865795795e-12
8.903329829674120e-02,2.040538869802322e-07,4.253307357869813e-08,9.666597462177308e-12
9.069189874216355e-02,2.117198914570322e-07,4.413070087821462e-08,1.002940870114740e-11
9.238139723910350e-02,2.196737522503615e-07,4.578830280659173e-08,1.040582353290006e-11
9.410236938706137e-02,2.279262700662371e-07,4.750812877964418e-08,1.079635124735536e-11
9.585540150837492e-02,2.364886503972407e-07,4.929251246481758e-08,1.120152015685275e-11
9.764109084797504e-02,2.453725186662865e-07,5.114387493024616e-08,1.162187830411995e-11
9.946004577686263e-02,2.545899359354152e-07,5.306472791113618e-08,1.205799419644554e-11
1.013128859993760e-01,2.641534152006107e-07,5.505767719782473e-08,1.251045756701664e-11
1.032002427643195e-01,2.740759382944062e-07,5.712542615002390e-08,1.297988016441790e-11
1.051227590800254e-01,2.843709734188542e-07,5.927077934192562e-08,1.346689657132440e-11
