# energy,pi_pi
1.265462781541771e-01,1.664336930162180e-06
1.289037075354127e-01,1.726804142631473e-06
1.313050534455940e-01,1.791613591718589e-06
1.337511340053101e-01,1.858852967609677e-06
1.362427825759109e-01,1.928613235896489e-06
1.387808480434267e-01,2.000988759484944e-06
1.413661951077771e-01,2.076077425016148e-06
1.439997045773685e-01,2.153980773965484e-06
1.466822736691782e-01,2.234804138591330e-06
1.494148163144299e-01,2.318656782911225e-06
1.521982634699632e-01,2.405652048889713e-06
1.550335634354035e-01,2.495907508028710e-06
1.579216821762408e-01,2.589545118558185e-06
1.608636036529266e-01,2.686691388432030e-06
1.638603301561023e-01,2.787477544341400e-06
1.669128826480716e-01,2.892039706965425e-06
1.700223011106352e-01,3.000519072687117e-06
1.731896448994045e-01,3.113062102010475e-06
1.764159931047164e-01,3.229820714923246e-06
1.797024449192710e-01,3.350952493458580e-06
1.830501200126186e-01,3.476620891717906e-06
1.864601589126226e-01,3.606995453626680e-06
1.899337233940287e-01,3.742252038704427e-06
1.934719968742733e-01,3.882573056140542e-06
1.970761848166643e-01,4.028147707477620e-06
2.007475151410742e-01,4.179172238215037e-06
2.044872386422825e-01,4.335850198656350e-06
2.082966294161127e-01,4.498392714335855e-06
2.121769852935068e-01,4.667018766371386e-06
2.161296282826867e-01,4.841955482102766e-06
2.201559050195528e-01,5.023438436388123e-06
2.242571872264724e-01,5.211711963943343e-06
2.284348721796154e-01,5.407029483123611e-06
2.326903831849959e-01,5.609653831560084e-06
2.370251700633818e-01,5.819857614079159e-06
2.414407096442379e-01,6.037923563347007e-06
2.459385062688709e-01,6.264144913697491e-06
2.505200923029467e-01,6.498825788617612e-06
2.551870286585565e-01,6.742281602381374e-06
2.599409053260076e-01,6.994839476339967e-06
2.647833419155210e-01,7.256838670394017e-06
2.697159882090210e-01,7.528631030191855e-06
2.747405247222031e-01,7.810581450616814e-06
2.798586632770734e-01,8.103068356145998e-06
2.850721475851533e-01,8.406484198683248e-06
2.903827538415492e-01,8.721235973489779e-06
2.957922913300889e-01,9.047745753857673e-06
3.013026030397309e-01,9.386451245193436e-06
3.069155662924569e-01,9.737806359201931e-06
3.126330933828618e-01,1.010228180888473e-05
3.184571322296577e-01,1.048036572509119e-05
3.243896670393152e-01,1.087256429538603e-05
3.304327189820679e-01,1.127940242602319e-05
3.365883468805105e-01,1.170142442784241e-05
3.428586479110231e-01,1.213919472693318e-05
3.492457583182642e-01,1.259329860093863e-05
3.557518541429737e-01,1.306434294190221e-05
3.623791519633326e-01,1.355295704658978e-05
3.691299096501357e-01,1.405979343525152e-05
3.760064271360305e-01,1.458552869981996e-05
3.830110471990874e-01,1.513086438257458e-05
3.901461562609668e-01,1.569652788633656e-05
3.974141851999546e-01,1.628327341729385e-05
4.048176101791451e-01,1.689188296159243e-05
4.123589534900501e-01,1.752316729686730e-05
4.200407844119258e-01,1.817796703992573e-05
4.278657200871064e-01,1.885715373183465e-05
4.358364264126454e-01,1.956163096170536e-05
4.439556189485660e-01,2.029233553051076e-05
4.522260638430330e-01,2.105023865631364e-05
4.606505787747583e-01,2.183634722232946e-05
4.692320339129630e-01,2.265170506929236e-05
4.779733528952225e-01,2.349739433364120e-05
4.868775138235282e-01,2.437453683308993e-05
4.959475502789041e-01,2.528429550119723e-05
5.051865523549266e-01,2.622787587260123e-05
5.145976677104938e-01,2.720652762063742e-05
5.241841026422116e-01,2.822154614911258e-05
5.339491231767536e-01,2.927427424006201e-05
5.438960561835728e-01,3.036610375937526e-05
5.540282905083406e-01,3.149847742223267e-05
5.643492781275014e-01,3.267289062035609e-05
5.748625353243351e-01,3.389089331313729e-05
5.855716438869285e-01,3.515409198477110e-05
5.964802523284637e-01,3.646415166958430e-05
6.075920771302394e-01,3.782279804781743e-05
6.189109040078481e-01,3.923181961418331e-05
6.304405892009410e-01,4.069306992159595e-05
6.421850607870204e-01,4.220846990253319e-05
6.541483200197059e-01,4.378001027056884e-05
6.663344426919318e-01,4.540975400468315e-05
6.787475805245391e-01,4.709983891903596e-05
6.913919625807360e-01,4.885248032096310e-05
7.042718967069078e-01,5.066997376003455e-05
7.173917710002684e-01,5.255469787109271e-05
7.307560553038516e-01,5.450911731426934e-05
7.443693027293533e-01,5.653578581506324e-05
7.582361512083433e-01,5.863734930764297e-05
7.723613250723730e-01,6.081654918462487e-05
7.867496366625197e-01,6.307622565666294e-05
8.014059879689173e-01,6.541932122527388e-05
8.163353723008244e-01,6.784888427240914e-05
8.315428759878098e-01,7.036807277037705e-05
8.470336801126263e-01,7.298015811580633e-05
8.628130622763661e-01,7.568852909143513e-05
8.788863983965015e-01,7.849669595960188e-05
8.952591645384185e-01,8.140829469140617e-05
9.119369387810718e-01,8.442709133560200e-05
9.289254031173947e-01,8.755698653137848e-05
9.462303453901110e-01,9.080202016927779e-05
9.638576612636107e-01,9.416637620459258e-05
9.818133562325578e-01,9.765438762767903e-05
1.000103547667918e+00,1.012705415957157e-04
1.018734466901101e+00,1.050194847305280e-04
1.037712461346929e+00,1.089060285871924e-04
1.057043996666151e+00,1.129351552982219e-04
1.076735658968251e+00,1.171120233982244e-04
1.096794157055277e+00,1.214419738340108e-04
1.117226324707491e+00,1.259305361652163e-04
1.138039123011574e+00,1.305834349605740e-04
1.159239642732230e+00,1.354065963950681e-04
1.180835106727943e+00,1.404061550532562e-04
1.202832872411763e+00,1.455884609441342e-04
1.225240434257911e+00,1.509600867329709e-04
1.248065426355099e+00,1.565278351956090e-04
1.271315625007399e+00,1.622987469007800e-04
1.294998951383580e+00,1.682801081260297e-04
1.319123474215786e+00,1.744794590128898e-04
1.343697412548490e+00,1.809046019669694e-04
1.368729138538668e+00,1.875636103086566e-04
1.394227180308124e+00,1.944648371801411e-04
1.420200224848962e+00,2.016169247144668e-04
