# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
4.328428849516837e-02,4.763011743028642e-08,1.004362153002012e-07,1.297764529330505e-07,1.108946581022744e-09
4.409063108329310e-02,4.942015598875258e-08,1.042096843281749e-07,1.346526427657110e-07,1.150607518209583e-09
4.491199501962588e-02,5.127744675603001e-08,1.081248590589428e-07,1.397119708729083e-07,1.193832780255475e-09
4.574866013671595e-02,5.320451520991883e-08,1.121870571976140e-07,1.449613110245817e-07,1.238681060656596e-09
4.660091148011036e-02,5.520398159715162e-08,1.164017957874156e-07,1.504077947303213e-07,1.285213252508561e-09
4.746903940546688e-02,5.727856448569680e-08,1.207747986696938e-07,1.560588208890511e-07,1.333492530791365e-09
4.835333967747599e-02,5.943108444999238e-08,1.253120042223921e-07,1.619220657991623e-07,1.383584437724124e-09
4.925411357062575e-02,6.166446789407232e-08,1.300195733873628e-07,1.680054935425131e-07,1.435556971303642e-09
5.017166797184367e-02,6.398175101773063e-08,1.349038979972472e-07,1.743173667562077e-07,1.489480677145042e-09
5.110631548505085e-02,6.638608393106165e-08,1.399716094130625e-07,1.808662578065831e-07,1.545428743747119e-09
5.205837453766378e-02,6.888073492291150e-08,1.452295874840386e-07,1.876610603803668e-07,1.603477101309499e-09
5.302816948908021e-02,7.146909488898236e-08,1.506849698416777e-07,1.947110015085179e-07,1.663704524233461e-09
5.401603074118592e-02,7.415468192554406e-08,1.563451615404509e-07,2.020256540388432e-07,1.726192737443088e-09
5.502229485092022e-02,7.694114609492913e-08,1.622178450580045e-07,2.096149495740702e-07,1.791026526668481e-09
5.604730464493833e-02,7.983227436921585e-08,1.683109906682216e-07,2.174891918926777e-07,1.858293852837935e-09
5.709140933640992e-02,8.283199575874241e-08,1.746328672009782e-07,2.256590708704226e-07,1.928085970731460e-09
5.815496464399336e-02,8.594438663234160e-08,1.811920532029444e-07,2.341356769211645e-07,2.000497552053567e-09
5.923833291302646e-02,8.917367623644041e-08,1.879974485143063e-07,2.429305159762758e-07,2.075626813089085e-09
6.034188323897479e-02,9.252425242043513e-08,1.950582862768339e-07,2.520555250226360e-07,2.153575647111787e-09
6.146599159317973e-02,9.600066757602589e-08,2.023841453892920e-07,2.615230882199494e-07,2.234449761721835e-09
6.261104095094912e-02,9.960764479848062e-08,2.099849634267699e-07,2.713460536188851e-07,2.318358821294512e-09
6.377742142203408e-02,1.033500842780929e-07,2.178710500411266e-07,2.815377505023351e-07,2.405416594729450e-09
6.496553038353647e-02,1.072330699304051e-07,2.260531008603739e-07,2.921120073729063e-07,2.495741108696433e-09
6.617577261529232e-02,1.112618762740852e-07,2.345422119054736e-07,3.030831706106104e-07,2.589454806581114e-09
6.740856043777727e-02,1.154419755656743e-07,2.433498945437097e-07,3.144661238256032e-07,2.686684713341396e-09
6.866431385258105e-02,1.197790452007647e-07,2.524880909984937e-07,3.262763079317346e-07,2.787562606492962e-09
6.994346068549895e-02,1.242789753915197e-07,2.619691904361943e-07,3.385297419676209e-07,2.892225193450455e-09
