# energy,pi_pi_eta,pi_rho
1.081804915153111e-01,5.693854036415015e-07,4.589687469865241e-10
1.101957848364154e-01,5.907710972468647e-07,4.762100694619816e-10
1.122486210371386e-01,6.129595168102897e-07,4.940987156408160e-10
1.143396995034191e-01,6.359807643964414e-07,5.126589691270877e-10
1.164697326500488e-01,6.598660692499797e-07,5.319160233501853e-10
1.186394461633880e-01,6.846478299094031e-07,5.518960155875180e-10
1.208495792486008e-01,7.103596578889947e-07,5.726260622557434e-10
1.231008848814976e-01,7.370364229869541e-07,5.941342955176095e-10
1.253941300650674e-01,7.647143002799297e-07,6.164499012532302e-10
1.277300960907907e-01,7.934308188663750e-07,6.396031584464118e-10
1.301095788048190e-01,8.232249124234497e-07,6.636254800385097e-10
1.325333888791144e-01,8.541369716445535e-07,6.885494553042304e-10
1.350023520876388e-01,8.862088986270405e-07,7.144088938057905e-10
1.375173095876893e-01,9.194841632822205e-07,7.412388709839263e-10
1.400791182064740e-01,9.540078618423852e-07,7.690757754463885e-10
1.426886507330268e-01,9.898267775423288e-07,7.979573580167977e-10
1.453467962155600e-01,1.026989443555687e-06,8.279227826090324e-10
1.480544602643563e-01,1.065546208269329e-06,8.590126789947175e-10
1.508125653603034e-01,1.105549302982108e-06,8.912691975338770e-10
1.536220511691768e-01,1.147052912117395e-06,9.247360659413493e-10
1.564838748617763e-01,1.190113246042127e-06,9.594586481642669e-10
1.593990114400272e-01,1.234788616588436e-06,9.954840054486286e-10
1.623684540691563e-01,1.281139515377473e-06,1.032860959675862e-09
1.653932144160556e-01,1.329228695048643e-06,1.071640159053242e-09
1.684743229939499e-01,1.379121253501225e-06,1.111874146245089e-09
1.716128295134844e-01,1.430884721259274e-06,1.153617429034849e-09
1.748098032403544e-01,1.484589152074705e-06,1.196926553611463e-09
1.780663333595947e-01,1.540307216887623e-06,1.241860180576818e-09
1.813835293466579e-01,1.598114301267355e-06,1.288479163774646e-09
1.847625213454037e-01,1.658088606462032e-06,1.336846632044856e-09
1.882044605531311e-01,1.720311254189272e-06,1.387028074011095e-09
1.917105196127821e-01,1.784866395305296e-06,1.439091426013276e-09
1.952818930124526e-01,1.851841322494767e-06,1.493107163300849e-09
1.989197974923457e-01,1.921326587128827e-06,1.549148394606814e-09
2.026254724593058e-01,1.993416120444100e-06,1.607290960226869e-09
2.064001804090754e-01,2.068207359200987e-06,1.667613533732556e-09
2.102452073564179e-01,2.145801375985260e-06,1.730197727451975e-09
2.141618632732529e-01,2.226303014322896e-06,1.795128201856492e-09
2.181514825349543e-01,2.309821028784225e-06,1.862492778996868e-09
2.222154243749621e-01,2.396468230259786e-06,1.932382560137444e-09
2.263550733478624e-01,2.486361636596846e-06,2.004892047742378e-09
2.305718398010953e-01,2.579622628792358e-06,2.080119271973542e-09
2.348671603554495e-01,2.676377112945137e-06,2.158165921865425e-09
2.392424983945087e-01,2.776755688177309e-06,2.239137481348351e-09
2.436993445632147e-01,2.880893820742615e-06,2.323143370297554e-09
2.482392172757195e-01,2.988932024546983e-06,2.410297090791989e-09
2.528636632326978e-01,3.101016048314770e-06,2.500716378773450e-09
2.575742579482956e-01,3.217297069642470e-06,2.594523361303358e-09
2.623726062868971e-01,3.337931896190319e-06,2.691844719621747e-09
2.672603430098889e-01,3.463083174271087e-06,2.792811858220270e-09
2.722391333326119e-01,3.592919605104684e-06,2.897561080148686e-09
2.773106734916874e-01,3.727616169016676e-06,3.006233768782161e-09
2.824766913229117e-01,3.867354357868716e-06,3.118976576284806e-09
2.877389468499179e-01,4.012322416019142e-06,3.235941619013419e-09
2.930992328838016e-01,4.162715590122504e-06,3.357286680113952e-09
2.985593756339194e-01,4.318736388087796e-06,3.483175419572435e-09
3.041212353300637e-01,4.480594847526373e-06,3.613777591991262e-09
3.097867068562297e-01,4.648508814032304e-06,3.749269272371488e-09
3.155577203961883e-01,4.822704229649947e-06,3.889833090191793e-09
3.214362420910847e-01,5.003415431896034e-06,4.035658472084992e-09
3.274242747092886e-01,5.190885463716489e-06,4.186941893423836e-09
3.335238583287218e-01,5.385366394771498e-06,4.343887139138685e-09
3.397370710318982e-01,5.587119654456193e-06,4.506705574101309e-09
3.460660296139100e-01,5.796416377078564e-06,4.675616423420660e-09
3.525128903036053e-01,6.013537759630904e-06,4.850847063008884e-09
3.590798494981978e-01,6.238775432606347e-06,5.032633320788312e-09
3.657691445115636e-01,6.472431844327791e-06,5.221219788923402e-09
3.725830543364771e-01,6.714820659272743e-06,5.416860147474956e-09
3.795239004210473e-01,6.966267170894351e-06,5.619817499888036e-09
3.865940474596167e-01,7.227108729456311e-06,5.830364720739321e-09
3.937959041983962e-01,7.497695185417183e-06,6.048784816184669e-09
4.011319242561061e-01,7.778389348918107e-06,6.275371297563004e-09
4.086046069599058e-01,8.069567465947105e-06,6.510428568628567e-09
4.162164981968963e-01,8.371619711772704e-06,6.754272326900114e-09
4.239701912814842e-01,8.684950702260120e-06,7.007229979632523e-09
4.318683278389053e-01,9.009980023704095e-06,7.269641074933980e-09
4.399135987052057e-01,9.347142781834203e-06,7.541857748569941e-09
4.481087448439904e-01,9.696890170670894e-06,7.824245187013909e-09
4.564565582802482e-01,1.005969006193335e-05,8.117182107324283e-09
4.649598830515747e-01,1.043602761572436e-05,8.421061254446738e-09
4.736216161771135e-01,1.082640591324166e-05,8.736289916561993e-09
4.824447086445501e-01,1.123134661229068e-05,9.063290459120317e-09
4.914321664154905e-01,1.165139062639969e-05,9.402500878225946e-09
5.005870514495704e-01,1.208709882836526e-05,9.754375374057467e-09
5.099124827476413e-01,1.253905277908346e-05,1.011938494503348e-08
5.194116374143914e-01,1.300785548255140e-05,1.049801800345707e-08
5.290877517407614e-01,1.349413216795233e-05,1.089078101339768e-08
5.389441223065237e-01,1.399853109976871e-05,1.129819915159438e-08
5.489841071034036e-01,1.452172441689813e-05,1.172081699219145e-08
5.592111266791214e-01,1.506440900177998e-05,1.215919921614429e-08
5.696286653027475e-01,1.562730738057306e-05,1.261393134616187e-08
5.802402721517668e-01,1.621116865545918e-05,1.308562050808116e-08
5.910495625212568e-01,1.681676947018242e-05,1.357489621959889e-08
6.020602190555921e-01,1.744491500997023e-05,1.408241120731680e-08
6.132759930030932e-01,1.809644003701933e-05,1.460884225308851e-08
6.247007054940487e-01,1.877220996276812e-05,1.515489107068876e-08
6.363382488425466e-01,1.947312195821615e-05,1.572128521385973e-08
6.481925878725561e-01,2.020010610359193e-05,1.630877901682381e-08
6.602677612687127e-01,2.095412657871183e-05,1.691815456838797e-08
6.725678829522692e-01,2.173618289541558e-05,1.755022272080192e-08
6.850971434826771e-01,2.254731117350755e-05,1.820582413457007e-08
6.978598114852792e-01,2.338858546167828e-05,1.888583036045621e-08
7.108602351055980e-01,2.426111910492675e-05,1.959114495996027e-08
7.241028434907165e-01,2.516606616005151e-05,2.032270466558772e-08
7.375921482982556e-01,2.610462286082737e-05,2.108148058227451e-08
7.513327452334618e-01,2.707802913453425e-05,2.186847943137417e-08
7.653293156149303e-01,2.808757017155613e-05,2.268474483865893e-08
7.795866279694943e-01,2.913457804982014e-05,2.353135866783196e-08
7.941095396568268e-01,3.022043341590029e-05,2.440944240109624e-08
8.089029985243071e-01,3.134656722466435e-05,2.532015856837343e-08
8.239720445927150e-01,3.251446253939973e-05,2.626471222681612e-08
8.393218117733279e-01,3.372565639441093e-05,2.724435249230853e-08
8.549575296170067e-01,3.498174172214104e-05,2.826037412470270e-08
8.708845250958641e-01,3.628436934692888e-05,2.931411916859136e-08
8.871082244181243e-01,3.763525004757603e-05,3.040697865147386e-08
9.036341548767916e-01,3.903615669095985e-05,3.154039434122833e-08
9.204679467327578e-01,4.048892643899362e-05,3.271586056486074e-08
9.376153351329899e-01,4.199546303129927e-05,3.393492609056119e-08
9.550821620644518e-01,4.355773914602619e-05,3.519919607515902e-08
9.728743783444256e-01,4.517779884131577e-05,3.651033407912897e-08
9.909980456479104e-01,4.685776007998238e-05,3.787006415136615e-08
1.009459338572789e+00,4.859981734004985e-05,3.928017298601085e-08
1.028264546743470e+00,5.040624431385551e-05,4.074251215367159e-08
1.047420076953713e+00,5.227939669850515e-05,4.225900040946173e-08
1.066932455349373e+00,5.422171508053661e-05,4.383162608033499e-08
1.086808329651817e+00,5.623572791772421e-05,4.546244953427489e-08
1.107054471422746e+00,5.832405462103102e-05,4.715360573396520e-08
1.127677778371218e+00,6.048940873979320e-05,4.890730687764167e-08
1.148685276703646e+00,6.273460125329731e-05,5.072584512989972e-08
1.170084123517575e+00,6.506254397198914e-05,5.261159544530809e-08
1.191881609240047e+00,6.747625305163154e-05,5.456701848775608e-08
1.214085160111403e+00,6.997885262380729e-05,5.659466364853868e-08
1.236702340715338e+00,7.257357854624197e-05,5.869717216626502e-08
1.259740856556106e+00,7.526378227650203e-05,6.087728035175360e-08
1.283208556683724e+00,7.805293487270214e-05,6.313782292116050e-08
1.307113436368085e+00,8.094463112493548e-05,6.548173644066800e-08
1.331463639822886e+00,8.394259382121990e-05,6.791206288614466e-08
1.356267462980303e+00,8.705067815183173e-05,7.043195332127015e-08
1.381533356317350e+00,9.027287625597634e-05,7.304467169770412e-08
1.407269927734896e+00,9.361332191482286e-05,7.575359878096148e-08
1.433485945490312e+00,9.707629539500501e-05,7.856223620574223e-08
1.460190341184748e+00,1.006662284467655e-04,8.147421066454923e-08
1.487392212806065e+00,1.043877094609941e-04,8.449327823351194e-08
1.515100827828454e+00,1.082454887894791e-04,8.762332883942000e-08
1.543325626369788e+00,1.122444842327621e-04,9.086839087205453e-08
1.572076224407807e+00,1.163897867000497e-04,9.423263594598980e-08
1.601362417056204e+00,1.206866660456988e-04,9.772038381612042e-08
1.631194181901754e+00,1.251405770868512e-04,1.013361074512537e-07
1.661581682403592e+00,1.297571658068456e-04,1.050844382701834e-07
1.692535271355841e+00,1.345422757490889e-04,1.089701715447463e-07
1.724065494414718e+00,1.395019546061093e-04,1.129982719744351e-07
1.756183093691372e+00,1.446424610085541e-04,1.171738794372204e-07
1.788899011411634e+00,1.499702715189290e-04,1.215023149213026e-07
1.822224393643953e+00,1.554920878348975e-04,1.259890866425893e-07
1.856170594096777e+00,1.612148442069814e-04,1.306398963527536e-07
1.890749177986682e+00,1.671457150755056e-04,1.354606458427945e-07
1.925971925978547e+00,1.732921229316361e-04,1.404574436470773e-07
1.961850838199143e+00,1.796617464073446e-04,1.456366119528801e-07
1.998398138325487e+00,1.862625285991117e-04,1.510046937205251e-07
2.035626277749354e+00,1.931026856301452e-04,1.565684600192062e-07
2.073547939819377e+00,2.001907154558432e-04,1.623349175836627e-07
2.112176044162164e+00,2.075354069171624e-04,1.683113165968715e-07
2.151523751083924e+00,2.151458490464809e-04,1.745051587039449e-07
2.191604466054080e+00,2.230314406304380e-04,1.809242052624304e-07
2.232431844272415e+00,2.312019000341248e-04,1.875764858342039e-07
2.274019795321296e+00,2.396672752908566e-04,1.944703069241315e-07
2.316382487904562e+00,2.484379544616046e-04,2.016142609706493e-07
2.359534354674701e+00,2.575246762679736e-04,2.090172355933664e-07
2.403490097149942e+00,2.669385410024108e-04,2.166884231027406e-07
2.448264690722951e+00,2.766910217190874e-04,2.246373302768064e-07
2.493873389762841e+00,2.867939757086295e-04,2.328737884098386e-07
2.540331732812219e+00,2.972596562595721e-04,2.414079636377294e-07
2.587655547881047e+00,3.081007247090763e-04,2.502503675447250e-07
2.635860957839135e+00,3.193302627850770e-04,2.594118680560150e-07
2.684964385909073e+00,3.309617852416052e-04,2.689037006204879e-07
2.734982561261506e+00,3.430092527885853e-04,2.787374796877648e-07
2.785932524714637e+00,3.554870853168879e-04,2.889252104833906e-07
2.837831634539904e+00,3.684101754188716e-04,2.994793010857956e-07
2.890697572375814e+00,3.817939022040331e-04,3.104125748083472e-07
2.944548349251944e+00,3.956541454087166e-04,3.217382828894771e-07
2.999402311725170e+00,4.100072997981056e-04,3.334701174935006e-07
3.055278148130191e+00,4.248702898579142e-04,3.456222250243273e-07
3.112194894946516e+00,4.402605847723413e-04,3.582092197538135e-07
3.170171943284041e+00,4.561962136838827e-04,3.712461977659927e-07
3.229229045489461e+00,4.726957812295905e-04,3.847487512178722e-07
3.289386321875746e+00,4.897784833472385e-04,3.987329829168666e-07
3.350664267576978e+00,5.074641233436453e-04,4.132155212142716e-07
3.413083759530893e+00,5.257731282161029e-04,4.282135352134445e-07
3.476666063591495e+00,5.447265652164321e-04,4.437447502905574e-07
3.541432841774177e+00,5.643461586456614e-04,4.598274639249126e-07
3.607406159635804e+00,5.846543068656639e-04,4.764805618348535e-07
3.674608493792285e+00,6.056740995123117e-04,4.937235344142727e-07
3.743062739576188e+00,6.274293348927711e-04,5.115764934635848e-07
3.812792218837006e+00,6.499445375474955e-04,5.300601892078135e-07
3.883820687886741e+00,6.732449759552420e-04,5.491960275931129e-07
3.956172345593499e+00,6.973566803570244e-04,5.690060878516133e-07
4.029871841625863e+00,7.223064606723475e-04,5.895131403229242e-07
4.104944284850852e+00,7.481219244782824e-04,6.107406645189511e-07
