# energy,pi_pi
1.747471809490776e+00,1.253374249129226e-03
1.770728625764733e+00,1.284485106135020e-03
1.794294963199639e+00,1.316329511960198e-03
1.818174941161962e+00,1.348923073433021e-03
1.842372733842141e+00,1.382281651761728e-03
1.866892570984235e+00,1.416421362723127e-03
1.891738738625272e+00,1.451358576588108e-03
1.916915579844447e+00,1.487109917766143e-03
1.942427495522285e+00,1.523692264149988e-03
1.968278945109908e+00,1.561122746140789e-03
1.994474447408545e+00,1.599418745332816e-03
2.021018581359408e+00,1.638597892835985e-03
2.047915986844093e+00,1.678678067213241e-03
2.075171365495615e+00,1.719677392008713e-03
2.102789481520257e+00,1.761614232841351e-03
2.130775162530341e+00,1.804507194037514e-03
2.159133300388095e+00,1.848375114774632e-03
2.187868852060737e+00,1.893237064706732e-03
2.216986840486952e+00,1.939112339041142e-03
2.246492355454893e+00,1.986020453034223e-03
2.276390554491870e+00,2.033981135872375e-03
2.306686663765882e+00,2.083014323902950e-03
2.337385978999140e+00,2.133140153177994e-03
2.368493866393755e+00,2.184378951271913e-03
2.400015763569748e+00,2.236751228332343e-03
2.431957180515527e+00,2.290277667321509e-03
2.464323700551041e+00,2.344979113403337e-03
2.497120981303727e+00,2.400876562429432e-03
2.530354755697458e+00,2.457991148474848e-03
2.564030832954658e+00,2.516344130372207e-03
2.598155099611733e+00,2.575956877190308e-03
2.632733520548046e+00,2.636850852600861e-03
2.667772140028560e+00,2.699047598074289e-03
2.703277082760371e+00,2.762568714842803e-03
2.739254554963299e+00,2.827435844566053e-03
2.775710845454729e+00,2.893670648631671e-03
2.812652326748886e+00,2.961294786019825e-03
2.850085456170743e+00,3.030329889657684e-03
2.888016776984756e+00,3.100797541186202e-03
2.926452919538616e+00,3.172719244058074e-03
2.965400602422225e+00,3.246116394882025e-03
3.004866633642099e+00,3.321010252924592e-03
3.044857911811400e+00,3.397421907676604e-03
3.085381427355800e+00,3.475372244387208e-03
3.126444263735405e+00,3.554881907463998e-03
3.168053598682930e+00,3.635971261632973e-03
3.210216705458361e+00,3.718660350747466e-03
3.252940954120311e+00,3.802968854129938e-03
3.296233812814295e+00,3.888916040325425e-03
3.340102849078156e+00,3.976520718139868e-03
3.384555731164858e+00,4.065801184830826e-03
3.429600229382890e+00,4.156775171312219e-03
3.475244217454503e+00,4.249459784228351e-03
3.521495673892030e+00,4.343871444746125e-03
3.568362683392519e+00,4.440025823907529e-03
3.615853438250924e+00,4.537937774377341e-03
3.663976239792119e+00,4.637621258413816e-03
3.712739499821943e+00,4.739089271882207e-03
3.762151742097590e+00,4.842353764123170e-03
3.812221603817538e+00,4.947425553479558e-03
3.862957837131326e+00,5.054314238276569e-03
3.914369310669422e+00,5.163028103040979e-03
3.966465011093442e+00,5.273574019735806e-03
4.019254044667013e+00,5.385957343776822e-03
4.072745638847532e+00,5.500181804587050e-03
4.126949143899116e+00,5.616249390434624e-03
4.181874034527019e+00,5.734160227288187e-03
4.237529911533794e+00,5.853912451412353e-03
4.293926503497504e+00,5.975502075413494e-03
4.351073668472265e+00,6.098922847433554e-03
4.408981395711423e+00,6.224166103176254e-03
4.467659807413660e+00,6.351220610436218e-03
4.527119160492345e+00,6.480072405787345e-03
4.587369848368424e+00,6.610704623071543e-03
4.648422402787189e+00,6.743097313313473e-03
