# energy,pi_pi_pi0,pi_pi,mu_mu
1.166783596604662e-01,3.774234246275557e-06,9.793085124809368e-08,6.009332652744785e-10
1.188519596843472e-01,3.915757130953006e-06,1.015972952891835e-07,6.234056393665035e-10
1.210660516818689e-01,4.062578798841269e-06,1.054006909835720e-07,6.467159289653094e-10
1.233213899776133e-01,4.214897190608372e-06,1.093461357337314e-07,6.708952363303805e-10
1.256187429484676e-01,4.372917615321264e-06,1.134389156314732e-07,6.959758101174840e-10
1.279588932854045e-01,4.536853023255159e-06,1.176845123828921e-07,7.219910871677706e-10
1.303426382601393e-01,4.706924288718290e-06,1.220886104840023e-07,7.489757357931338e-10
1.327707899967543e-01,4.883360503254719e-06,1.266571046559394e-07,7.769657006098162e-10
1.352441757483832e-01,5.066399279600893e-06,1.313961075489059e-07,8.059982489739562e-10
1.377636381790507e-01,5.256287066784819e-06,1.363119577243472e-07,8.361120190745300e-10
1.403300356507609e-01,5.453279476770479e-06,1.414112279251663e-07,8.673470697409597e-10
1.429442425159355e-01,5.657641623064353e-06,1.467007336441209e-07,8.997449320245295e-10
1.456071494152991e-01,5.869648471715594e-06,1.521875420008843e-07,9.333486626146541e-10
1.483196635813135e-01,6.089585205156545e-06,1.578789809386052e-07,9.682028991530379e-10
1.510827091472651e-01,6.317747599346068e-06,1.637826487511693e-07,1.004353917510780e-09
1.538972274621105e-01,6.554442414694308e-06,1.699064239527316e-07,1.041849691095577e-09
1.567641774111866e-01,6.799987801264279e-06,1.762584755014843e-07,1.080739952258309e-09
1.596845357428961e-01,7.054713718763104e-06,1.828472733900170e-07,1.121076255870512e-09
1.626592974014779e-01,7.318962371853478e-06,1.896815996150355e-07,1.162912045146498e-09
1.656894758659778e-01,7.593088661334548e-06,1.967705595396322e-07,1.206302719786204e-09
1.687761034955325e-01,7.877460651760502e-06,2.041235936617316e-07,1.251305706517249e-09
1.719202318810872e-01,8.172460056084866e-06,2.117504898027845e-07,1.297980532117125e-09
1.751229322036643e-01,8.478482737938938e-06,2.196613957312430e-07,1.346388898998956e-09
1.783852955993074e-01,8.795939232173842e-06,2.278668322358271e-07,1.396594763446839e-09
1.817084335308226e-01,9.125255284317467e-06,2.363777066640747e-07,1.448664416589440e-09
1.850934781664458e-01,9.466872409619954e-06,2.452053269421759e-07,1.502666568203194e-09
1.885415827655638e-01,9.821248472384696e-06,2.543614160926033e-07,1.558672433439273e-09
1.920539220716214e-01,1.018885828630566e-05,2.638581272665858e-07,1.616755822571291e-09
1.956316927123476e-01,1.057019423655663e-05,2.737080593090126e-07,1.676993233863656e-09
1.992761136074377e-01,1.096576692440339e-05,2.839242728739208e-07,1.739463949663426e-09
2.029884263838299e-01,1.137610583513634e-05,2.945203071092934e-07,1.804250135821604e-09
2.067698957987187e-01,1.180176003014801e-05,3.055101969304862e-07,1.871436944552876e-09
