# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
6.377742142203408e-02,5.170639946596176e-08,1.090328769725078e-07,1.408840580519952e-07,1.203867977364597e-09
6.496553038353647e-02,5.364965420332672e-08,1.131293956915652e-07,1.461776805724733e-07,1.249095714908224e-09
6.617577261529232e-02,5.566591871988828e-08,1.173797554257146e-07,1.516701236153036e-07,1.296021752011029e-09
6.740856043777727e-02,5.775793477202292e-08,1.217897294898433e-07,1.573688498096173e-07,1.344709811471402e-09
6.866431385258105e-02,5.992854700482175e-08,1.263653076281035e-07,1.632816016186080e-07,1.395226004312064e-09
6.994346068549895e-02,6.218070680897666e-08,1.311127041142308e-07,1.694164118172496e-07,1.447638919129682e-09
7.124643673228880e-02,6.451747632200760e-08,1.360383661542840e-07,1.757816143614404e-07,1.502019714778290e-09
7.257368590714335e-02,6.694203257921920e-08,1.411489826030510e-07,1.823858556631469e-07,1.558442216510431e-09
7.392566039392855e-02,6.945767181997535e-08,1.464514930057880e-07,1.892381062866593e-07,1.616983015704442e-09
7.530282080023912e-02,7.206781395508779e-08,1.519530969773836e-07,1.963476730816298e-07,1.677721573311096e-09
7.670563631432423e-02,7.477600720133145e-08,1.576612639314909e-07,2.037242117691444e-07,1.740740327157702e-09
7.813458486493632e-02,7.758593288932068e-08,1.635837431726322e-07,2.113777399976817e-07,1.806124803252857e-09
7.959015328415793e-02,8.050141045121383e-08,1.697285743647606e-07,2.193186508864336e-07,1.873963731240330e-09
8.107283747326170e-02,8.352640259495380e-08,1.761040983902624e-07,2.275577270741110e-07,1.944349164156060e-09
8.258314257166023e-02,8.666502067199931e-08,1.827189686138971e-07,2.361061552920235e-07,2.017376602647821e-09
8.412158312900332e-02,8.992153024576296e-08,1.895821625667100e-07,2.449755414809236e-07,2.093145123823146e-09
8.568868328048121e-02,9.330035686823722e-08,1.967029940655045e-07,2.541779264718164e-07,2.171757514897017e-09
8.728497692539340e-02,9.680609207256825e-08,2.040911257840351e-07,2.637258022516882e-07,2.253320411817276e-09
8.891100790904434e-02,1.004434995896264e-07,2.117565822926805e-07,2.736321288358819e-07,2.337944443052194e-09
9.056733020802726e-02,1.042175217969178e-07,2.197097635839694e-07,2.839103517696402e-07,2.425744378731414e-09
9.225450811895995e-02,1.081332864084940e-07,2.279614591019744e-07,2.945744202821779e-07,2.516839285338532e-09
9.397311645073650e-02,1.121961134148369e-07,2.365228622942518e-07,3.056388061175032e-07,2.611352686160856e-09
9.572374072036016e-02,1.164115222820254e-07,2.454055857056877e-07,3.171185230670921e-07,2.709412727709390e-09
9.750697735242475e-02,1.207852394198411e-07,2.546216766343292e-07,3.290291472304600e-07,2.811152352330005e-09
9.932343388231203e-02,1.253232059288226e-07,2.641836333700154e-07,3.413868380306208e-07,2.916709477234718e-09
1.011737291631745e-01,1.300315856366514e-07,2.741044220373810e-07,3.542083600124226e-07,3.026227180190532e-09
1.030584935767739e-01,1.349167734346362e-07,2.843974940656081e-07,3.675111054527796e-07,3.139853892111907e-09
1.049783692482478e-01,1.399854039254605e-07,2.950768043081130e-07,3.813131178128826e-07,3.257743596811952e-09
1.069340102648767e-01,1.452443603937714e-07,3.061568298362129e-07,3.956331160635843e-07,3.380056038176802e-09
1.089260828989264e-01,1.507007841116157e-07,3.176525894316929e-07,4.104905199162915e-07,3.506956935037256e-09
1.109552658346425e-01,1.563620839911743e-07,3.295796638041109e-07,4.259054759928943e-07,3.638618204021855e-09
1.130222503994728e-01,1.622359465977046e-07,3.419542165596220e-07,4.418988849694845e-07,3.775218190685859e-09
1.151277407995972e-01,1.683303465360766e-07,3.547930159490847e-07,4.584924297298969e-07,3.916941909221450e-09
1.172724543598457e-01,1.746535572247875e-07,3.681134574242289e-07,4.757086045664254e-07,4.063981291065518e-09
1.194571217680859e-01,1.812141620718457e-07,3.819335870317138e-07,4.935707454664367e-07,4.216535442733010e-09
1.216824873241620e-01,1.880210660674504e-07,3.962721256759979e-07,5.121030615250189e-07,4.374810913215746e-09
1.239493091934731e-01,1.950835078089444e-07,4.111484942830693e-07,5.313306675252820e-07,4.539021971298977e-09
1.262583596652741e-01,2.024110719740839e-07,4.265828398982590e-07,5.512796177294386e-07,4.709390893160796e-09
1.286104254157887e-01,2.100137022592649e-07,4.425960627525644e-07,5.719769409253784e-07,4.886148260632830e-09
1.310063077762246e-01,2.179017147999582e-07,4.592098443331739e-07,5.934506767750830e-07,5.069533270514310e-09
1.334468230057804e-01,2.260858120912368e-07,4.764466764951753e-07,6.157299135129194e-07,5.259794055345968e-09
1.359328025697396e-01,2.345770974269447e-07,4.943298916527855e-07,6.388448270436102e-07,5.457188016064890e-09
1.384650934227444e-01,2.433870898767321e-07,5.128836940898283e-07,6.628267214914863e-07,5.661982166976792e-09
1.410445582973464e-01,2.525277398208918e-07,5.321331924306312e-07,6.877080712545205e-07,5.874453493497932e-09
1.436720759979339e-01,2.620114450636683e-07,5.521044333140149e-07,7.135225646185850e-07,6.094889323135341e-09
1.463485417001334e-01,2.718510675464636e-07,5.728244363145896e-07,7.403051489893978e-07,6.323587710190962e-09
1.490748672557894e-01,2.820599506831572e-07,5.943212301571856e-07,7.680920778017131e-07,6.560857834692904e-09
1.518519815036256e-01,2.926519373405703e-07,6.166238902718976e-07,7.969209591674793e-07,6.807020416075110e-09
1.546808305856932e-01,3.036413884879511e-07,6.397625777389544e-07,8.268308063269306e-07,7.062408142145701e-09
1.575623782697142e-01,3.150432025402328e-07,6.637685796743956e-07,8.578620899689099e-07,7.327366113903624e-09
1.604976062774305e-01,3.268728354207256e-07,6.886743511093894e-07,8.900567924891138e-07,7.602252306783505e-09
1.634875146190684e-01,3.391463213698412e-07,7.145135584179334e-07,9.234584642574570e-07,7.887438048929444e-09
1.665331219340353e-01,3.518802945274263e-07,7.413211243496545e-07,9.581122819683257e-07,8.183308517120081e-09
1.696354658379618e-01,3.650920113172904e-07,7.691332747264759e-07,9.940651091501702e-07,8.490263250989790e-09
1.727956032762102e-01,3.787993736635557e-07,7.979875868640369e-07,1.031365558913641e-06,8.808716686213791e-09
1.760146108839676e-01,3.930209530695464e-07,8.279230397809400e-07,1.070064059020362e-06,9.139098707349154e-09
1.792935853530475e-01,4.077760155910541e-07,8.589800662611781e-07,1.110212919357369e-06,9.481855221048339e-09
1.826336438055245e-01,4.230845477369777e-07,8.912006068374423e-07,1.151866401905346e-06,9.837448750387697e-09
