# energy,pi_pi_pi0,pi_pi_a,mu_mu
2.796059766779952e-01,3.996682381717057e-06,8.320184006891293e-07,1.880138322890911e-10
2.848147536898859e-01,4.146285831069520e-06,8.631364489140911e-07,1.950189276549398e-10
2.901205649579179e-01,4.301475729747549e-06,8.954150119346505e-07,2.022837394302492e-10
2.955252181323021e-01,4.462459913559843e-06,9.288971798048485e-07,2.098178230091656e-10
3.010305545379480e-01,4.629453906296042e-06,9.636276316028437e-07,2.176310810893922e-10
3.066384498017883e-01,4.802681201563508e-06,9.996526933996928e-07,2.257337760477813e-10
3.123508144917919e-01,4.982373554808650e-06,1.037020398306334e-06,2.341365427423244e-10
3.181695947678797e-01,5.168771285882278e-06,1.075780548671130e-06,2.428504017543540e-10
3.240967730449667e-01,5.362123592520519e-06,1.115984780502726e-06,2.518867730851669e-10
3.301343686683561e-01,5.562688875125509e-06,1.157686630195444e-06,2.612574903216778e-10
3.362844386017150e-01,5.770735073242909e-06,1.200941603636938e-06,2.709748152861172e-10
3.425490781278666e-01,5.986540014146754e-06,1.245807247780501e-06,2.810514531852115e-10
3.489304215626373e-01,6.210391773955800e-06,1.292343224767043e-06,2.915005682746947e-10
3.554306429820022e-01,6.442589051719776e-06,1.340611388684559e-06,3.023358000554405e-10
3.620519569627769e-01,6.683441556928604e-06,1.390675865055740e-06,3.135712800179355e-10
3.687966193371066e-01,6.933270410912544e-06,1.442603133147285e-06,3.252216489522534e-10
3.756669279610113e-01,7.192408562616958e-06,1.496462111197507e-06,3.373020748411461e-10
3.826652234972487e-01,7.461201219251212e-06,1.552324244661900e-06,3.498282713543174e-10
3.897938902127601e-01,7.740006292327670e-06,1.610263597579497e-06,3.628165169624039e-10
3.970553567909724e-01,8.029194859623851e-06,1.670356947166140e-06,3.762836746896550e-10
4.044520971592324e-01,8.329151643617993e-06,1.732683881744088e-06,3.902472125247679e-10
4.119866313316551e-01,8.640275506966418e-06,1.797326902120886e-06,4.047252245098125e-10
4.196615262676742e-01,8.962979965609536e-06,1.864371526533891e-06,4.197364525276497e-10
4.274793967465854e-01,9.297693720112111e-06,1.933906399280506e-06,4.353003088087261e-10
4.354429062583824e-01,9.644861205863189e-06,2.006023403157877e-06,4.514368991786094e-10
4.435547679111883e-01,1.000494316278107e-05,2.080817775839619e-06,4.681670470681028e-10
4.518177453555904e-01,1.037841722518925e-05,2.158388230321041e-06,4.855123183082649e-10
4.602346537261964e-01,1.076577853255058e-05,2.238837079568335e-06,5.034950467331246e-10
4.688083606007289e-01,1.116754036176864e-05,2.322270365511293e-06,5.221383606133713e-10
4.775417869769878e-01,1.158423478178772e-05,2.408797992523312e-06,5.414662099447612e-10
4.864379082680128e-01,1.201641333124555e-05,2.498533865536753e-06,5.615033946154477e-10
4.954997553157838e-01,1.246464771995698e-05,2.591596032946050e-06,5.822755934769055e-10
5.047304154238066e-01,1.292953055503039e-05,2.688106834455550e-06,6.038093943435692e-10
5.141330334089338e-01,1.341167609244391e-05,2.788193054033546e-06,6.261323249467383e-10
5.237108126727804e-01,1.391172101493367e-05,2.891986078138735e-06,6.492728848687411e-10
5.334670162930990e-01,1.443032523707256e-05,2.999622059390048e-06,6.732605784837573e-10
5.434049681354858e-01,1.496817273844446e-05,3.111242085855710e-06,6.981259489320888e-10
5.535280539857964e-01,1.552597242584651e-05,3.226992356142343e-06,7.239006131550653e-10
5.638397227036587e-01,1.610445902547984e-05,3.347024360470008e-06,7.506172980181072e-10
5.743434873974722e-01,1.670439400611780e-05,3.471495067924215e-06,7.783098775498128e-10
5.850429266212995e-01,1.732656653427019e-05,3.600567120081156e-06,8.070134113252399e-10
5.959416855940511e-01,1.797179446239171e-05,3.734409031207835e-06,8.367641840218168e-10
6.070434774413854e-01,1.864092535121376e-05,3.873195395244056e-06,8.675997461765736e-10
6.183520844607422e-01,1.933483752730961e-05,4.017107099778839e-06,8.995589561735657e-10
6.298713594099435e-01,2.005444117703533e-05,4.166331547239343e-06,9.326820234905326e-10
6.416052268197995e-01,2.080067947802086e-05,4.321062883516024e-06,9.670105532339510e-10
6.535576843311660e-01,2.157452976941917e-05,4.481502234253504e-06,1.002587591991678e-09
6.657328040569119e-01,2.237700476215527e-05,4.647857949042335e-06,1.039457675032413e-09
6.781347339692566e-01,2.320915379045075e-05,4.820345853752732e-06,1.077666874881129e-09
6.907676993129537e-01,2.407206410593530e-05,4.999189511257183e-06,1.117262851299504e-09
7.036360040448000e-01,2.496686221569146e-05,5.184620490794746e-06,1.158294902700166e-09
7.167440322999614e-01,2.589471526561537e-05,5.376878646235839e-06,1.200814019023317e-09
7.300962498856154e-01,2.685683247051314e-05,5.576212403512214e-06,1.244872936103896e-09
7.436972058024175e-01,2.785446659238901e-05,5.782879057482834e-06,1.290526191556979e-09
7.575515337943122e-01,2.888891546841979e-05,5.997145078512362e-06,1.337830182208571e-09
7.716639539272144e-01,2.996152359014759e-05,6.219286429044784e-06,1.386843223098207e-09
7.860392741971015e-01,3.107368373546186e-05,6.449588890460862e-06,1.437625608079032e-09
8.006823921680606e-01,3.222683865497990e-05,6.688348400513716e-06,1.490239672040034e-09
8.155982966408525e-01,3.342248281447509e-05,6.935871401642839e-06,1.544749854774057e-09
8.307920693525587e-01,3.466216419504038e-05,7.192475200472553e-06,1.601222766513954e-09
8.462688867078912e-01,3.594748615271528e-05,7.458488338806467e-06,1.659727255157853e-09
8.620340215427552e-01,3.728010933934337e-05,7.734250976435114e-06,1.720334475202900e-09
8.780928449206640e-01,3.866175368646781e-05,8.020115286079273e-06,1.783117958405077e-09
8.944508279626209e-01,4.009420045411171e-05,8.316445860796618e-06,1.848153686180683e-09
9.111135437110888e-01,4.157929434632997e-05,8.623620134184494e-06,1.915520163762834e-09
