# energy,mu_vm,pi_pi0,pi_pi_pi,pi0_e_ve,pi0_mu_vm,pi_pi0_pi0
4.215774408416748e-02,2.240969731095118e-07,5.512259158657370e-08,2.959359362957943e-08,0.000000000000000e+00,7.642060301980574e-09,3.211640006573980e-09
4.294310028744946e-02,2.325133278220905e-07,5.719349832574398e-08,3.070583001177311e-08,0.000000000000000e+00,7.929208448401234e-09,3.332342015738477e-09
4.374308688378100e-02,2.412455638936135e-07,5.934216885711975e-08,3.185985612282083e-08,0.000000000000000e+00,8.227141615816029e-09,3.457578939765330e-09
4.455797642261148e-02,2.503055249870276e-07,6.157152107331016e-08,3.305724141994437e-08,0.000000000000000e+00,8.536264624144416e-09,3.587521081550078e-09
4.538804653071132e-02,2.597054981502304e-07,6.388458222902257e-08,3.429961426332677e-08,0.000000000000000e+00,8.856997473808613e-09,3.722345134985187e-09
4.623358000675737e-02,2.694582303759168e-07,6.628449303282752e-08,3.558866412452624e-08,0.000000000000000e+00,9.189775914162266e-09,3.862234424539418e-09
4.709486491768023e-02,2.795769457776862e-07,6.877451189161054e-08,3.692614387755935e-08,0.000000000000000e+00,9.535052033156306e-09,4.007379153803650e-09
4.797219469680657e-02,2.900753634052195e-07,7.135801931338489e-08,3.831387217574175e-08,0.000000000000000e+00,9.893294869032723e-09,4.157976663337856e-09
4.886586824382964e-02,3.009677157221666e-07,7.403852247434971e-08,3.975373591748784e-08,0.000000000000000e+00,1.026499104486619e-08,4.314231698166483e-09
4.977619002664212e-02,3.122687677712561e-07,7.681965995629365e-08,4.124769280439093e-08,0.000000000000000e+00,1.065064542680407e-08,4.476356685282287e-09
5.070347018506616e-02,3.239938370520326e-07,7.970520666067171e-08,4.279777399502912e-08,0.000000000000000e+00,1.105078180688654e-08,4.644572021532126e-09
5.164802463651556e-02,3.361588141375639e-07,8.269907890591338e-08,4.440608685806899e-08,0.000000000000000e+00,1.146594361136139e-08,4.819106372272045e-09
5.261017518362659e-02,3.487801840574164e-07,8.580533971476488e-08,4.607481782837370e-08,0.000000000000000e+00,1.189669463544174e-08,5.000196981193466e-09
5.359024962389364e-02,3.618750484752051e-07,8.902820429871662e-08,4.780623536995823e-08,0.000000000000000e+00,1.234361980549015e-08,5.188089991737091e-09
