# energy,pi_pi_pi0,mu_mu,pi_pi
1.477482438689910e+00,6.398185946917951e-05,2.160868738075771e-07,4.454825971400236e-08
1.505006444626962e+00,6.630326659808712e-05,2.236505460392254e-07,4.613327698923409e-08
1.533043195002109e+00,6.870715180503754e-05,2.314666372148126e-07,4.777276218308817e-08
1.561602241726488e+00,7.119634234161153e-05,2.395428169021647e-07,4.946847110772004e-08
1.590693314653693e+00,7.377375615891996e-05,2.478869393115047e-07,5.122220895184109e-08
1.620326324894666e+00,7.644240442908210e-05,2.565070443307289e-07,5.303583118951922e-08
1.650511368194339e+00,7.920539411089413e-05,2.654113582632357e-07,5.491124446918101e-08
1.681258728371178e+00,8.206593055846547e-05,2.746082942379652e-07,5.685040747899732e-08
1.712578880820800e+00,8.502732017139344e-05,2.841064522590858e-07,5.885533178451651e-08
1.744482496084868e+00,8.809297308481707e-05,2.939146188603779e-07,6.092808263406864e-08
1.776980443486461e+00,9.126640589744713e-05,3.040417663268411e-07,6.307077972710096e-08
1.810083794833171e+00,9.455124443540145e-05,3.144970514433459e-07,6.528559794021455e-08
1.843803828189185e+00,9.795122654939224e-05,3.252898137272850e-07,6.757476800525959e-08
1.878152031717639e+00,1.014702049424986e-04,3.364295730991243e-07,6.994057713340145e-08
1.913140107594547e+00,1.051121500254287e-04,3.479260269414907e-07,7.238536957859849e-08
1.948779975995646e+00,1.088811527958150e-04,3.597890464939824e-07,7.491154713342689e-08
1.985083779157511e+00,1.127814277377019e-04,3.720286725271920e-07,7.752156954965089e-08
2.022063885514324e+00,1.168173157369704e-04,3.846551102355248e-07,8.021795487536133e-08
2.059732893911705e+00,1.209932870079979e-04,3.976787232842146e-07,8.300327969989583e-08
2.098103637899049e+00,1.253139440263740e-04,4.111100269415109e-07,8.588017929709906e-08
2.137189190101813e+00,1.297840244619777e-04,4.249596802222967e-07,8.885134765678876e-08
2.177002866675272e+00,1.344084041061733e-04,4.392384769643826e-07,9.191953739355183e-08
2.217558231841222e+00,1.391920997862864e-04,4.539573357533882e-07,9.508755952120501e-08
2.258869102509219e+00,1.441402722598924e-04,4.691272886064726e-07,9.835828308041667e-08
2.300949552983889e+00,1.492582290807681e-04,4.847594683191367e-07,1.017346346060896e-07
2.343813919759944e+00,1.545514274276308e-04,5.008650943729398e-07,1.052195974201535e-07
2.387476806406515e+00,1.600254768860113e-04,5.174554572951679e-07,1.088162107344020e-07
2.431953088542480e+00,1.656861421727722e-04,5.345419013542769e-07,1.125275685469291e-07
2.477257918904475e+00,1.715393457918956e-04,5.521358054672546e-07,1.163568183145750e-07
2.523406732509322e+00,1.775911706092066e-04,5.702485621869167e-07,1.203071593825650e-07
2.570415251912617e+00,1.838478623326842e-04,5.888915546284856e-07,1.243818411512317e-07
2.618299492565293e+00,1.903158318839219e-04,6.080761311856206e-07,1.285841609583248e-07
2.667075768269962e+00,1.970016576451344e-04,6.278135778763215e-07,1.329174616539476e-07
2.716760696738906e+00,2.039120875648703e-04,6.481150881487629e-07,1.373851288435916e-07
2.767371205255606e+00,2.110540411042597e-04,6.689917299661338e-07,1.419905877730876e-07
2.818924536441740e+00,2.184346110042142e-04,6.904544099778843e-07,1.467372998275199e-07
2.871438254131623e+00,2.260610648524844e-04,7.125138345724071e-07,1.516287586142789e-07
2.924930249356064e+00,2.339408464278684e-04,7.351804675930253e-07,1.566684855984318e-07
2.979418746437710e+00,2.420815767971525e-04,7.584644844852379e-07,1.618600252564740e-07
3.034922309199937e+00,2.504910551385245e-04,7.823757226283534e-07,1.672069397122754e-07
3.091459847291407e+00,2.591772592632550e-04,8.069236275889698e-07,1.727128028166416e-07
3.149050622628442e+00,2.681483458053575e-04,8.321171950170796e-07,1.783811936293771e-07
3.207714255957415e+00,2.774126500467203e-04,8.579649078879447e-07,1.842156892600372e-07
3.267470733539390e+00,2.869786853428428e-04,8.844746687741168e-07,1.902198570206946e-07
3.328340413959297e+00,2.968551421117922e-04,9.116537268121384e-07,1.963972458410086e-07
3.390344035061945e+00,3.070508863463146e-04,9.395085990073490e-07,2.027513768926527e-07
3.453502721017248e+00,3.175749576061891e-04,9.680449854979068e-07,2.092857333667396e-07
3.517837989517080e+00,3.284365664448676e-04,9.972676783754080e-07,2.160037493442356e-07
3.583371759106185e+00,3.396450912212197e-04,1.027180463634367e-06,2.229087976955080e-07
3.650126356649663e+00,3.512100742437608e-04,1.057786015796185e-06,2.300041769410450e-07
3.718124524939566e+00,3.631412171910789e-04,1.089085784724966e-06,2.372930970010463e-07
3.787389430443199e+00,3.754483757482931e-04,1.121079874122624e-06,2.447786637569719e-07
3.857944671195758e+00,3.881415533952268e-04,1.153766911158955e-06,2.524638623432387e-07
3.929814284840008e+00,4.012308942775885e-04,1.187143906658705e-06,2.603515390820700e-07
4.003022756815727e+00,4.147266750877622e-04,1.221206105232013e-06,2.684443819689936e-07
4.077595028701709e+00,4.286392958768432e-04,1.255946824696780e-06,2.767448996106449e-07
4.153556506713180e+00,4.429792697142621e-04,1.291357284101467e-06,2.852553985103363e-07
4.230933070357498e+00,4.577572111057178e-04,1.327426419614319e-06,9.914763323057224e-07
4.309751081251114e+00,4.729838230741744e-04,1.364140687500016e-06,1.000412780547856e-06
4.390037392100772e+00,4.886698828023200e-04,1.401483853356970e-06,1.009564662627742e-06
4.471819355852031e+00,5.092843146113687e-04,1.439436766737845e-06,1.018933212408330e-06
4.555124835008201e+00,5.259218168614105e-04,1.477977120222058e-06,1.028519319151893e-06
4.639982211122903e+00,5.732024634720691e-04,1.517079191951731e-06,1.038323492299770e-06
4.726420394469435e+00,5.908349768261425e-04,1.556713570581267e-06,1.048345823660097e-06
4.814468833890299e+00,6.603406509424671e-04,1.596846861524369e-06,1.058585946833870e-06
4.904157526830193e+00,6.790116469578429e-04,1.637441373308398e-06,1.069042993699067e-06
4.995517029555923e+00,7.696517541626145e-04,1.678454782757441e-06,1.079715547761327e-06
5.088578467566691e+00,8.801397006728160e-04,1.719839777598642e-06,1.090601594167548e-06
5.183373546198318e+00,9.004486901219335e-04,1.761543674825294e-06,1.101698466165265e-06
5.279934561425018e+00,1.029299999747332e-03,1.803508012245664e-06,1.113002787774084e-06
5.378294410862393e+00,1.050752841188616e-03,1.845668104992658e-06,1.124510412406640e-06
5.478486604975407e+00,1.196992929983698e-03,1.887952463387119e-06,1.136216357058039e-06
5.580545278495145e+00,1.219628984517132e-03,1.911488071016262e-06,1.148114727173312e-06
5.684505202048268e+00,1.381522745877230e-03,1.911472333388931e-06,1.159965691114243e-06
5.790401794003101e+00,1.405378735848352e-03,1.911456006230483e-06,1.171519639311124e-06
5.898271132536405e+00,1.429857407236427e-03,1.911439067501551e-06,1.182768927333024e-06
6.008149967924949e+00,1.605900527126818e-03,1.911421494341378e-06,1.193706007772138e-06
6.120075735066042e+00,1.631645640163135e-03,1.911403263037346e-06,1.204323226429059e-06
6.234086566231336e+00,1.818742954182912e-03,1.911384348993393e-06,1.214612851608354e-06
6.350221304058198e+00,1.845757748725413e-03,1.911364726697254e-06,1.224567133441718e-06
6.468519514783105e+00,2.041369721649134e-03,1.911344369686512e-06,1.234178286510205e-06
6.589021501721570e+00,2.069610138634183e-03,1.911323250513389e-06,1.243438482031361e-06
6.711768318999177e+00,2.098434364288959e-03,1.911301340708246e-06,1.252339932599206e-06
6.836801785538416e+00,2.300675556411896e-03,1.911278610741749e-06,1.260874816926860e-06
6.964164499306073e+00,2.330581069748604e-03,1.911255029985633e-06,1.269035367933531e-06
7.093899851826046e+00,2.535818825695301e-03,1.911230566672038e-06,1.276813881981590e-06
7.226052042962504e+00,2.566669988106846e-03,1.911205187851345e-06,1.284202693005264e-06
7.360666095978456e+00,2.597941265359691e-03,1.911178859348470e-06,1.291194253018009e-06
7.497787872874841e+00,2.803922696223897e-03,1.911151545717554e-06,1.297781127041075e-06
7.637464090015364e+00,2.835886230368493e-03,1.911123210194997e-06,1.303956038073439e-06
7.779742334042411e+00,2.868117569054307e-03,1.911093814650764e-06,1.309711868967838e-06
7.924671078089470e+00,3.072351967302189e-03,1.911063319537922e-06,1.315041728407317e-06
8.072299698295556e+00,3.104978411207276e-03,1.911031683840320e-06,1.319938964872895e-06
8.222678490627297e+00,3.137712209267058e-03,1.910998865018359e-06,1.324397193941723e-06
8.375858688014397e+00,3.334528930516845e-03,1.910964818952787e-06,1.328410404696791e-06
8.531892477804297e+00,3.367315643537267e-03,1.910929499886437e-06,1.331972890500070e-06
8.690833019542037e+00,3.400062443913584e-03,1.910892860363835e-06,1.335079398828528e-06
8.852734463081294e+00,3.582832072844158e-03,1.910854851168615e-06,1.337725148527407e-06
9.017651967032844e+00,3.615271880667348e-03,1.910815421258648e-06,1.339905844778222e-06
9.185641717556678e+00,3.647479354706907e-03,1.910774517698803e-06,1.341617823394683e-06
9.356760947504235e+00,3.679370194053201e-03,1.910732085591274e-06,1.342858038191841e-06
