# energy,mu_vm,pi_pi0,pi_pi_pi,pi0_e_ve,pi0_mu_vm,pi_pi0_pi0
3.637048619289757e-02,8.348724683853478e-08,2.053032972708399e-08,1.101856249383793e-08,0.000000000000000e+00,2.845924741755843e-09,1.195814444765689e-09
3.704803162537961e-02,8.662447127102006e-08,2.130194951095002e-08,1.143278063294923e-08,0.000000000000000e+00,2.952896208756496e-09,1.240767707533629e-09
3.773819904511368e-02,8.987953927911528e-08,2.210256195050216e-08,1.186256776030030e-08,0.000000000000000e+00,3.063887516551050e-09,1.287410563947294e-09
3.844122358697718e-02,9.325687486819953e-08,2.293325594178151e-08,1.230850891000018e-08,0.000000000000000e+00,3.179049670586579e-09,1.335806501409089e-09
3.915734476617283e-02,9.676106798119004e-08,2.379516125059537e-08,1.277121109143972e-08,0.000000000000000e+00,3.298539345721012e-09,1.386021391931098e-09
3.988680655982973e-02,1.003968807142999e-07,2.468945004497373e-08,1.325130411425271e-08,0.000000000000000e+00,3.422519098900366e-09,1.438123581646946e-09
4.062985749012454e-02,1.041692537651547e-07,2.561733848500052e-08,1.374944144421882e-08,0.000000000000000e+00,3.551157589804072e-09,1.492183983680578e-09
4.138675070895111e-02,1.080833131219268e-07,2.658008837216250e-08,1.426630109126730e-08,0.000000000000000e+00,3.684629809756290e-09,1.548276174497632e-09
4.215774408416748e-02,1.121443770024670e-07,2.757900886043893e-08,1.480258653078393e-08,0.000000000000000e+00,3.823117319212303e-09,1.606476493869871e-09
4.294310028744946e-02,1.163579630527483e-07,2.861545823143736e-08,1.535902765946816e-08,0.000000000000000e+00,3.966808494140586e-09,1.666864148587900e-09
4.374308688378100e-02,1.207297958142770e-07,2.969084573596739e-08,1.593638178703436e-08,0.000000000000000e+00,4.115898781633019e-09,1.729521320062548e-09
4.455797642261148e-02,1.252658144704909e-07,3.080663350453214e-08,1.653543466509963e-08,0.000000000000000e+00,4.270590965088232e-09,1.794533275960476e-09
4.538804653071132e-02,1.299721808825288e-07,3.196433852931096e-08,1.715700155464991e-08,0.000000000000000e+00,4.431095439325781e-09,1.861988486025022e-09
4.623358000675737e-02,1.348552879251455e-07,3.316553472030069e-08,1.780192833352940e-08,0.000000000000000e+00,4.597630496002353e-09,1.931978742238972e-09
4.709486491768023e-02,1.399217681339413e-07,3.441185503838381e-08,1.847109264545109e-08,0.000000000000000e+00,4.770422619714750e-09,2.004599283491712e-09
4.797219469680657e-02,1.451785026754918e-07,3.570499370819319e-08,1.916540509208275e-08,0.000000000000000e+00,4.949706795189087e-09,2.079948924919386e-09
4.886586824382964e-02,1.506326306523892e-07,3.704670851375087e-08,1.988581046982083e-08,0.000000000000000e+00,5.135726825970207e-09,2.158130192092885e-09
4.977619002664212e-02,1.562915587556535e-07,3.843882317996827e-08,2.063328905292458e-08,0.000000000000000e+00,5.328735665040849e-09,2.239249460235097e-09
5.070347018506616e-02,1.621629712774313e-07,3.988322984321013e-08,2.140885792474531e-08,0.000000000000000e+00,5.528995757816127e-09,2.323417098655549e-09
