# energy,pi_pi
1.465288598915311e+02,2.037949067730091e-02
1.484789885029464e+02,2.027673054253670e-02
1.504550710568402e+02,2.017203883003009e-02
1.524574529699846e+02,2.006539603702298e-02
1.544864842562470e+02,1.995678570721934e-02
1.565425195877721e+02,1.984619041163860e-02
1.586259183569780e+02,1.973359480382659e-02
1.607370447393776e+02,6.665927532578641e-03
1.628762677572367e+02,6.549291035464071e-03
1.650439613440772e+02,6.430607706766285e-03
1.672405044100416e+02,6.309875733037184e-03
1.694662809081252e+02,6.187082900500939e-03
1.717216799012910e+02,6.062221370439727e-03
1.740070956304771e+02,5.935285223137163e-03
1.763229275835099e+02,5.806270562338600e-03
1.786695805649339e+02,5.675174077508065e-03
1.810474647667706e+02,5.541996961513975e-03
1.834569958402209e+02,5.406740776599825e-03
1.858985949683187e+02,5.269410308306258e-03
1.883726889395541e+02,5.130012478139616e-03
1.908797102224754e+02,4.988557310960685e-03
1.934200970412841e+02,4.845056801407841e-03
1.959942934524359e+02,4.699528616029766e-03
1.986027494222610e+02,4.551990241437774e-03
2.012459209056179e+02,4.402471468704748e-03
2.039242699255936e+02,4.250979107217496e-03
2.066382646542653e+02,4.097561508474776e-03
2.093883794945350e+02,3.942248486065305e-03
2.121750951630555e+02,3.785078018822642e-03
2.149988987742591e+02,3.626122252377641e-03
2.178602839255040e+02,3.468142917800298e-03
2.207597507833550e+02,3.312977238562816e-03
2.236978061710120e+02,3.160675942453716e-03
2.266749636569015e+02,3.011290625788878e-03
2.296917436444483e+02,2.864873164072307e-03
2.327486734630417e+02,2.721475636181577e-03
2.358462874602108e+02,2.581150092028169e-03
2.389851270950289e+02,2.443949392810901e-03
2.421657410327593e+02,2.309927253753488e-03
2.453886852407615e+02,2.179134231182835e-03
2.486545230856737e+02,2.051625819504140e-03
2.519638254318884e+02,1.927454967822364e-03
2.553171707413388e+02,1.806673283482996e-03
2.587151451746132e+02,1.689335571939875e-03
2.621583426934157e+02,1.575494309881858e-03
2.656473651643890e+02,1.465202558567270e-03
2.691828224643207e+02,1.358512683968922e-03
2.727653325867484e+02,1.255477384270447e-03
2.763955217499849e+02,1.156148643865617e-03
2.800740245065799e+02,1.060577677966539e-03
2.838014838542390e+02,9.688157859732873e-04
2.875785513482192e+02,8.809131850833025e-04
2.914058872152196e+02,7.969195034356709e-04
2.952841604687882e+02,7.168833534610810e-04
2.992140490262656e+02,6.408526773131444e-04
3.031962398272825e+02,5.688742327450484e-04
3.072314289538370e+02,5.009929214838030e-04
3.113203217519684e+02,4.372538257417899e-04
3.154636329550513e+02,3.776992301546889e-04
3.196620868087295e+02,3.223698115310261e-04
3.239164171975137e+02,2.713053890820518e-04
3.282273677730632e+02,2.245431982434819e-04
3.325956920841755e+02,1.821185203746029e-04
3.370221537085065e+02,1.440633506699170e-04
3.415075263860411e+02,1.104106502646192e-04
3.460525941543435e+02,8.118579627338615e-05
3.506581514856054e+02,5.641460312096320e-05
3.553250034255188e+02,0.000000000000000e+00
3.600539657339972e+02,0.000000000000000e+00
3.648458650277690e+02,0.000000000000000e+00
3.697015389248697e+02,0.000000000000000e+00
3.746218361910555e+02,0.000000000000000e+00
