# energy,pi_pi_pi0,pi_pi,mu_mu
4.326419142126435e-01,2.573369666715335e-05,6.647440866077231e-07,4.065441717630958e-09
4.407015962119537e-01,2.669449174619002e-05,6.894656914554847e-07,4.216186033346808e-09
4.489114219486044e-01,2.769102349383669e-05,7.151012325614746e-07,4.372477439949435e-09
4.572741884488138e-01,2.872461335320018e-05,7.416841834952753e-07,4.534517609694098e-09
4.657927448445742e-01,2.979663118295352e-05,7.692492256430704e-07,4.702515404384704e-09
4.744699933443300e-01,3.090849700528007e-05,7.978322907263539e-07,4.876687123285305e-09
4.833088902217385e-01,3.206168281540879e-05,8.274706047543883e-07,5.057256759076064e-09
4.923124468228500e-01,3.325771445482072e-05,8.582027334548996e-07,5.244456262083393e-09
5.014837305920511e-01,3.449817355027212e-05,8.900686292286735e-07,5.438525813018528e-09
5.108258661171197e-01,3.578469952084575e-05,9.231096796748467e-07,5.639714104463102e-09
5.203420361937495e-01,3.711899165531044e-05,9.573687577348587e-07,5.848278631344887e-09
5.300354829099038e-01,3.850281126213826e-05,9.928902735041922e-07,6.064485990650758e-09
5.399095087503706e-01,3.993798389460111e-05,1.029720227762223e-06,6.288612190628411e-09
5.499674777218954e-01,4.142640165344120e-05,1.067906267271668e-06,6.520942969732144e-09
5.602128164992719e-01,4.297002556968522e-05,1.107497741900331e-06,6.761774125571854e-09
5.706490155927858e-01,4.457088807024918e-05,1.148545763619023e-06,7.011411854128138e-09
5.812796305374044e-01,4.623109552905860e-05,1.191103267430721e-06,7.270173099499769e-09
5.921082831041212e-01,4.795283090649056e-05,1.235225074287246e-06,7.538385914452917e-09
6.031386625338666e-01,4.973835648002486e-05,1.280967956050901e-06,7.816389832044592e-09
6.143745267944039e-01,5.159001666907623e-05,1.328390702559679e-06,8.104536248595283e-09
6.258197038606413e-01,5.351024095706521e-05,1.377554190855852e-06,8.403188818288027e-09
6.374780930187944e-01,5.550154691387232e-05,1.428521456638857e-06,8.712723859673204e-09
6.493536661948436e-01,5.756654332190971e-05,1.481357768004556e-06,9.033530774359740e-09
6.614504693077394e-01,5.970793340913476e-05,1.536130701534024e-06,9.366012478174426e-09
