# energy,pi_pi0
3.568362683392519e+00,1.238453183275828e-03
3.615853438250924e+00,1.268127678574325e-03
3.663976239792119e+00,1.298455296414069e-03
3.712739499821943e+00,1.329447791744968e-03
3.762151742097590e+00,1.361117002030735e-03
3.812221603817538e+00,1.393474840054519e-03
3.862957837131326e+00,1.426533286151255e-03
3.914369310669422e+00,1.460304379835913e-03
3.966465011093442e+00,1.494800210795493e-03
4.019254044667013e+00,1.530032909211018e-03
4.072745638847532e+00,1.566014635374237e-03
4.126949143899116e+00,1.602757568562107e-03
4.181874034527019e+00,1.640273895130374e-03
4.237529911533794e+00,1.678575795785814e-03
4.293926503497504e+00,1.717675431994788e-03
4.351073668472265e+00,1.757584931483824e-03
4.408981395711423e+00,1.798316372785919e-03
4.467659807413660e+00,1.839881768784046e-03
4.527119160492345e+00,1.882293049201242e-03
4.587369848368424e+00,1.925562041984224e-03
4.648422402787189e+00,1.969700453525115e-03
4.710287495659198e+00,2.014719847663319e-03
4.772975940925726e+00,2.060631623406955e-03
4.836498696449016e+00,2.107446991310471e-03
4.900866865927711e+00,2.155176948442250e-03
4.966091700837762e+00,2.203832251872961e-03
5.032184602399166e+00,2.253423390612296e-03
5.099157123568898e+00,2.303960555918527e-03
5.167020971060342e+00,2.355453609901813e-03
5.235788007389615e+00,2.407912052338734e-03
5.305470252949116e+00,2.461344985611767e-03
5.376079888108687e+00,2.515761077683568e-03
5.447629255344713e+00,2.571168523011919e-03
5.520130861397575e+00,2.627575001306958e-03
5.593597379457817e+00,9.161515831695392e-03
5.668041651381405e+00,9.219941136179778e-03
5.743476689934459e+00,9.279384977292273e-03
5.819915681067875e+00,9.339852516477133e-03
5.897371986222209e+00,9.401348158091237e-03
5.975859144663244e+00,9.463875492890361e-03
6.055390875848640e+00,9.527437238535349e-03
6.135981081826065e+00,9.592035176978993e-03
6.217643849663268e+00,9.657670088588326e-03
6.300393453910474e+00,9.724341682850570e-03
6.384244359095568e+00,9.792048525504369e-03
6.469211222252461e+00,9.860787961930795e-03
6.555308895483131e+00,9.930556036631481e-03
6.642552428553752e+00,1.000134740861332e-02
6.730957071525366e+00,1.007315526249099e-02
6.820538277419596e+00,1.014597121510971e-02
6.911311704919786e+00,1.021978521747999e-02
7.003293221108139e+00,1.029458545180295e-02
7.096498904239253e+00,1.037035822334135e-02
7.190945046550597e+00,1.044708784683209e-02
7.286648157110350e+00,1.052475652687742e-02
7.383624964703179e+00,1.060334422943744e-02
7.481892420754412e+00,1.068270489609664e-02
7.581467702293113e+00,1.076118082359881e-02
7.682368214954630e+00,1.083823893909857e-02
7.784611596023049e+00,1.091385352629481e-02
7.888215717514186e+00,1.098799862205543e-02
7.993198689299590e+00,1.106064823824056e-02
8.099578862272134e+00,1.113177616710289e-02
8.207374831553709e+00,1.120135563144020e-02
8.316605439745645e+00,1.126936079666922e-02
8.427289780222369e+00,1.133576437687879e-02
8.539447200468897e+00,1.140054033933272e-02
8.653097305462770e+00,1.146365799556313e-02
8.768259961100952e+00,1.152510108742166e-02
8.884955297672384e+00,1.158483238586999e-02
9.003203713376728e+00,1.164282862032509e-02
9.123025877889937e+00,1.169906314185628e-02
9.244442735977316e+00,1.175350911426340e-02
9.367475511154611e+00,1.180614018621316e-02
9.492145709397864e+00,1.185692970627577e-02
9.618475122902632e+00,1.190581967769723e-02
9.746485833893246e+00,1.195288112153540e-02
9.876200218482735e+00,1.199799111393377e-02
1.000764095058416e+01,1.204115632383896e-02
1.014083100587397e+01,1.208235231403350e-02
1.027579366580813e+01,1.212155457013382e-02
1.041255252169172e+01,1.215873885877418e-02
1.055113147880261e+01,1.219388173826426e-02
1.069155476057010e+01,1.222696060555345e-02
1.083384691280916e+01,1.225795254328053e-02
1.097803280801099e+01,1.228683676756209e-02
1.112413764969068e+01,1.231359232602094e-02
1.127218697679282e+01,1.233819972362647e-02
1.142220666815559e+01,1.236063995276655e-02
1.157422294703442e+01,1.238089538701630e-02
1.172826238568576e+01,1.239894956473694e-02
1.188435191001184e+01,1.241478698173219e-02
1.204251880426734e+01,1.242839392174153e-02
1.220279071582860e+01,1.243975784705526e-02
1.236519566002640e+01,1.244886792459592e-02
1.252976202504293e+01,1.245571493848305e-02
1.269651857687408e+01,1.246029153302183e-02
1.286549446435766e+01,1.246259233445593e-02
1.303671922426858e+01,1.246267012842492e-02
1.321022278648188e+01,1.246204663464090e-02
1.338603547920439e+01,1.246140657751900e-02
1.356418803427607e+01,1.246074983134149e-02
1.374471159254193e+01,1.246007577585798e-02
1.392763770929538e+01,1.245938404008070e-02
1.411299835979406e+01,1.245867402457083e-02
1.430082594484909e+01,1.245794504559771e-02
1.449115329648866e+01,1.245719757097134e-02
1.468401368369706e+01,1.245643011343786e-02
1.487944081823007e+01,1.245564251637881e-02
1.507746886050769e+01,1.245483419662967e-02
1.527813242558536e+01,1.245400466227806e-02
1.548146658920460e+01,1.245315331931816e-02
1.568750689392428e+01,1.245227902093076e-02
1.589628935533334e+01,1.245138308220518e-02
1.610785046834630e+01,1.245046300496378e-02
1.632222721358253e+01,1.244951872350327e-02
1.653945706383039e+01,1.244854997544997e-02
1.675957799059750e+01,1.244755534937210e-02
1.698262847074799e+01,1.244653488096292e-02
1.720864749322833e+01,1.244548771362571e-02
1.743767456588247e+01,1.244441298465577e-02
1.766974972235779e+01,1.244331040172954e-02
1.790491352910293e+01,1.244218033551301e-02
1.814320709245877e+01,1.244101763861990e-02
1.838467206584373e+01,1.243982612293403e-02
1.862935065703476e+01,1.243860342189324e-02
1.887728563554524e+01,1.243734880421003e-02
1.912852034010097e+01,1.243606136093694e-02
1.938309868621575e+01,1.243474034593562e-02
1.964106517386779e+01,1.243338481832532e-02
1.990246489527821e+01,1.243199393050536e-02
2.016734354279313e+01,1.243056680547269e-02
2.043574741687061e+01,1.242910213878390e-02
2.070772343417394e+01,1.242759990103248e-02
2.098331913577260e+01,1.242605821920495e-02
2.126258269545236e+01,1.242447664668759e-02
2.154556292813609e+01,1.242285334701588e-02
2.183230929841639e+01,1.242118804840401e-02
2.212287192920208e+01,1.241947963397370e-02
2.241730161047954e+01,1.241772503156005e-02
2.271564980819080e+01,1.241592801082256e-02
2.301796867322965e+01,1.241408276803494e-02
2.332431105055760e+01,1.241218959328506e-02
2.363473048844113e+01,1.241024728595108e-02
2.394928124781178e+01,1.240825647962849e-02
2.426801831175101e+01,1.240621022749539e-02
2.459099739510108e+01,1.240411285858191e-02
2.491827495420394e+01,1.240196118043414e-02
2.524990819676981e+01,1.239975380441565e-02
2.558595509187690e+01,1.239748926851632e-02
2.592647438010444e+01,1.239516619555852e-02
2.627152558380039e+01,1.239278304883682e-02
2.662116901748591e+01,1.239033830204596e-02
2.697546579839821e+01,1.238783183104854e-02
2.733447785717389e+01,1.238525776935925e-02
2.769826794867418e+01,1.238261875885334e-02
