# energy,pi_pi_eta,pi_rho
1.813835293466579e-01,3.189799814110140e-06,2.572458206944828e-09
1.847625213454037e-01,3.309383855090264e-06,2.668938100208746e-09
1.882044605531311e-01,3.433443879095935e-06,2.769031464052954e-09
1.917105196127821e-01,3.562147011229824e-06,2.872873348579702e-09
1.952818930124526e-01,3.695666593338898e-06,2.980603834939401e-09
1.989197974923457e-01,3.834182413923729e-06,3.092368221818103e-09
2.026254724593058e-01,3.977880946473163e-06,3.208317218783860e-09
2.064001804090754e-01,4.126955596528576e-06,3.328607146741081e-09
2.102452073564179e-01,4.281606957792755e-06,3.453400145750918e-09
2.141618632732529e-01,4.442043077609514e-06,3.582864390484888e-09
2.181514825349543e-01,4.608479732151597e-06,3.717174313588449e-09
2.222154243749621e-01,4.781140711666311e-06,3.856510837241005e-09
2.263550733478624e-01,4.960258116140518e-06,4.001061613209007e-09
2.305718398010953e-01,5.146072661759364e-06,4.151021271699345e-09
2.348671603554495e-01,5.338833998546099e-06,4.306591679331002e-09
2.392424983945087e-01,5.538801039583956e-06,4.467982206554216e-09
2.436993445632147e-01,5.746242302234941e-06,4.635410004858010e-09
2.482392172757195e-01,5.961436261784859e-06,4.809100294118910e-09
2.528636632326978e-01,6.184671717958811e-06,4.989286660456085e-09
2.575742579482956e-01,6.416248174766698e-06,5.176211364970964e-09
2.623726062868971e-01,6.656476234154332e-06,5.370125663762649e-09
2.672603430098889e-01,6.905678003951969e-06,5.571290139624057e-09
2.722391333326119e-01,7.164187520629186e-06,5.779975045837997e-09
2.773106734916874e-01,7.432351187382434e-06,5.996460662506890e-09
2.824766913229117e-01,7.710528228099673e-06,6.221037665864937e-09
2.877389468499179e-01,7.999091157765189e-06,6.454007511037335e-09
2.930992328838016e-01,8.298426269886813e-06,6.695682828726882e-09
2.985593756339194e-01,8.608934141547789e-06,6.946387836325395e-09
3.041212353300637e-01,8.931030156705810e-06,7.206458763964178e-09
3.097867068562297e-01,9.265145048383076e-06,7.476244296035727e-09
3.155577203961883e-01,9.611725460412861e-06,7.756106028737195e-09
3.214362420910847e-01,9.971234529430602e-06,8.046418944204822e-09
