# energy,pi_pi0
3.762151742097590e+00,2.421176882061585e-03
3.812221603817538e+00,2.473712776739779e-03
3.862957837131326e+00,2.527157119138285e-03
3.914369310669422e+00,2.581514051520489e-03
3.966465011093442e+00,2.636787009867903e-03
4.019254044667013e+00,2.692978671888411e-03
4.072745638847532e+00,2.750090902293525e-03
4.126949143899116e+00,2.808124695217312e-03
4.181874034527019e+00,2.867080113644093e-03
4.237529911533794e+00,2.926956225706176e-03
4.293926503497504e+00,2.987751037706747e-03
4.351073668472265e+00,3.049461423716777e-03
4.408981395711423e+00,3.112083051588127e-03
4.467659807413660e+00,3.175610305218109e-03
4.527119160492345e+00,3.240036202893673e-03
4.587369848368424e+00,3.305352311535771e-03
4.648422402787189e+00,3.371548656656737e-03
4.710287495659198e+00,3.438613627835270e-03
4.772975940925726e+00,3.506533879505264e-03
4.836498696449016e+00,3.575294226845690e-03
4.900866865927711e+00,3.644877536549693e-03
4.966091700837762e+00,3.715264612241334e-03
5.032184602399166e+00,3.786434074298415e-03
5.099157123568898e+00,3.858362233829443e-03
5.167020971060342e+00,3.931022960541764e-03
5.235788007389615e+00,4.004387544226756e-03
5.305470252949116e+00,4.078424549575948e-03
5.376079888108687e+00,4.153099664029760e-03
5.447629255344713e+00,4.228375538347626e-03
5.520130861397575e+00,4.304211619574983e-03
5.593597379457817e+00,4.380563976068567e-03
5.668041651381405e+00,4.457385114227016e-03
5.743476689934459e+00,4.534623786558589e-03
5.819915681067875e+00,4.612224790702079e-03
5.897371986222209e+00,4.690128759000571e-03
5.975859144663244e+00,4.768271938210529e-03
6.055390875848640e+00,4.846585958910927e-03
6.135981081826065e+00,4.924997594158481e-03
6.217643849663268e+00,5.003428506915775e-03
6.300393453910474e+00,5.081794985758809e-03
6.384244359095568e+00,5.160007668349559e-03
6.469211222252461e+00,5.237971252137145e-03
6.555308895483131e+00,5.315584191728601e-03
6.642552428553752e+00,5.392738382346213e-03
6.730957071525366e+00,5.469318828763929e-03
6.820538277419596e+00,5.545203299089385e-03
6.911311704919786e+00,5.620261962731388e-03
7.003293221108139e+00,5.694357011864895e-03
7.096498904239253e+00,5.767342265676620e-03
7.190945046550597e+00,5.839062756645334e-03
7.286648157110350e+00,5.909354298083334e-03
7.383624964703179e+00,5.978043032160034e-03
7.481892420754412e+00,6.044946072669226e-03
7.581467702293113e+00,6.109937186577233e-03
7.682368214954630e+00,6.172991571179321e-03
7.784611596023049e+00,6.234094118659897e-03
7.888215717514186e+00,6.293230777471208e-03
7.993198689299590e+00,6.350388812093814e-03
8.099578862272134e+00,6.405556735171507e-03
8.207374831553709e+00,6.458724385204730e-03
8.316605439745645e+00,6.509883025002946e-03
8.427289780222369e+00,6.559025778737430e-03
8.539447200468897e+00,6.606147053657050e-03
8.653097305462770e+00,6.651243258287559e-03
8.768259961100952e+00,6.694388136109309e-03
8.884955297672384e+00,6.735356539702071e-03
9.003203713376728e+00,6.774376725809979e-03
9.123025877889937e+00,6.811378642592674e-03
9.244442735977316e+00,6.846369870384825e-03
9.367475511154611e+00,6.879360743373603e-03
9.492145709397864e+00,6.910364358718541e-03
