# MN,Msqrd
0.16595869074375606343,2.005321213410087169e-22
0.16982436524617443546,2.0998279443621851795e-22
0.1737800828749375467,2.1987885297410840551e-22
0.17782794100389228012,2.3024128625702652317e-22
0.18197008586099834401,2.4109207267973473492e-22
0.18620871366628674487,2.5245422633396755425e-22
0.19054607179632471827,2.6435184580843821929e-22
0.19498445997580453236,2.7681016528766772276e-22
0.19952623149688796014,2.8985560805787563999e-22
0.20417379446695293314,3.0351584253326296105e-22
0.20892961308540394831,3.1781984092134750066e-22
0.21379620895022320975,3.3279794065159300572e-22
0.21877616239495525622,3.4848190869741549566e-22
0.2238721138568339612,3.6490500892776688698e-22
0.22908676527677730457,3.821020726308993694e-22
0.23442288153199221181,4.0010957235961770519e-22
0.23988329190194904653,4.189656992543446253e-22
