# MN,Msqrd
0.0426579518801592658,7.0140158764715977597e-33
0.043651583224016596746,7.3331061647686853763e-33
0.044668359215096311856,7.666140151487577243e-33
0.0457088189614875029,8.0136711667121275808e-33
0.046773514128719819358,8.376268866676842788e-33
0.047863009232263834392,8.7545191015755542269e-33
0.048977881936844619591,9.1490236959592661549e-33
0.0501187233627272285,9.5604001306315947424e-33
0.051286138399136485555,9.9892811138822673181e-33
0.052480746024977259736,1.0436314028747151572e-32
0.05370317963702527309,1.0902160241742814837e-32
0.054954087385762455209,1.1387494257190418304e-32
0.056234132519034908039,1.1893002699813841689e-32
0.057543993733715693006,1.2419383106766717033e-32
0.058884365535558896727,1.2967342508609483623e-32
0.060255958607435774697,1.3537595777018356383e-32
0.061659500186148216632,1.4130863715161890353e-32
0.063095734448019324943,1.4747870864727524776e-32
0.064565422903465551588,1.5389343001521564592e-32
0.066069344800759600651,1.6056004289404916075e-32
0.067608297539198177106,1.6748574060069355343e-32
0.069183097091893648753,1.7467763183813941705e-32
0.07079457843841379108,1.8214269994060752523e-32
0.072443596007499006355,1.8988775725870120605e-32
0.074131024130091751491,1.9791939426199946023e-32
0.075857757502918376875,2.0624392291129663637e-32
0.077624711662869173389,2.1486731382772819676e-32
0.079432823472428150207,2.2379512676177640532e-32
0.081283051616409924654,2.3303243384217792644e-32
0.083176377110267100617,2.4258373506373662449e-32
0.085113803820237646782,2.5245286545480754172e-32
0.087096358995608063751,2.6264289335076609073e-32
0.089125093813374552995,2.7315600919032084982e-32
0.091201083935590974212,2.8399340424852318378e-32
0.093325430079699104353,2.9515513872551193936e-32
0.095499258602143594972,3.0663999862548103371e-32
0.09772372209558106827,3.1844534088853791044e-32
0.1,3.3056692628195555497e-32
0.1023292992280754131,3.4299873962026878212e-32
0.10471285480508995335,3.5573279696980943819e-32
0.10715193052376064174,3.6875893960742471722e-32
0.10964781961431850131,3.8206461465093440364e-32
0.11220184543019634356,3.9563464246699811496e-32
0.11481536214968827515,4.0945097119826952924e-32
0.11748975549395295417,4.2349241904512889769e-32
0.12022644346174129058,4.3773440529857071118e-32
0.12302687708123815342,4.5214867156243589009e-32
0.12589254117941672104,4.6670299513965208993e-32
0.12882495516931339628,4.81360897205426238e-32
0.1318256738556407102,4.9608134917015646901e-32
0.13489628825916536092,5.1081848156916493672e-32
0.13803842646028848378,5.2552130093190854801e-32
0.14125375446227543022,5.4013342141113983736e-32
0.14454397707459275119,5.5459281952860884241e-32
0.14791083881682074222,5.6883162226014935557e-32
0.15135612484362081625,5.8277594088789675002e-32
0.15488166189124813447,5.9634576564718230038e-32
0.15848931924611134852,6.094549392555047522e-32
0.16218100973589299728,6.2201123100635845629e-32
0.16595869074375606343,6.339165373289522281e-32
0.16982436524617443546,6.4506723965705664949e-32
0.1737800828749375467,6.5535475623326876483e-32
0.17782794100389228012,6.6466633123403471984e-32
0.18197008586099834401,6.72886112492023989e-32
0.18620871366628674487,6.7989657829637055115e-32
0.19054607179632471827,6.8558038447632357017e-32
0.19498445997580453236,6.8982271546065244226e-32
0.19952623149688796014,6.9251423753153695474e-32
0.20417379446695293314,6.9355476937823564808e-32
0.20892961308540394831,6.9285780467243740218e-32
0.21379620895022320975,6.9035604416048949857e-32
0.21877616239495525622,6.8600812118963748216e-32
0.2238721138568339612,6.7980673522322558725e-32
0.22908676527677730457,6.7178844340732311127e-32
0.23442288153199221181,6.6204540138198937865e-32
0.23988329190194904653,6.5073939215263442672e-32
0.24547089156850303561,6.3811853695097858688e-32
0.25118864315095801111,6.2453714577319414435e-32
0.25703957827688638007,6.1047923901195566533e-32
0.26302679918953819173,5.9658635682745061006e-32
0.26915348039269157174,5.8369037138934068432e-32
0.27542287033381664486,5.7285213089270806727e-32
0.28183829312644538191,5.6540689563765745499e-32
0.28840315031266059424,5.6301767814786587434e-32
0.29512092266663857079,5.6773777437603321054e-32
0.30199517204020161986,5.8208397505724687898e-32
0.30902954325135905196,6.0912217931308663524e-32
0.3162277660168379332,6.5256740138329244455e-32
0.32359365692962826268,7.1690047127854308354e-32
0.3311311214825910943,8.0750408743075397432e-32
0.33884415613920254705,9.3082129122408988236e-32
0.34673685045253163945,1.0945399078523991841e-31
0.35481338923357545843,1.3078070447332430903e-31
0.36307805477010134247,1.5814783686001018665e-31
0.37153522909717253862,1.9284076079081987073e-31
0.38018939632056119615,2.3637825627150129065e-31
0.38904514499428060109,2.9055148662765980843e-31
0.39810717055349725077,3.5746918502523336815e-31
0.4073802778041127305,4.396100140494056024e-31
0.41686938347033540177,5.3988320780379947391e-31
0.426579518801592658,6.6169877490007103133e-31
0.43651583224016596746,8.0904873507973250288e-31
0.44668359215096311856,9.8660108586009654024e-31
0.457088189614875029,1.1998084529088590401e-30
0.46773514128719819358,1.4550336738652640848e-30
0.47863009232263834392,1.7596949058296159487e-30
0.48977881936844619591,2.1224332383898634646e-30
