T (GeV)      ,gstar  ,heff   ,geff
668.344     ,10.3358,106.719,106.753
707.946     ,10.3358,106.731,106.762
749.894     ,10.3358,106.741,106.769
794.328     ,10.3358,106.751,106.776
841.397     ,10.3358,106.759,106.781
891.253     ,10.3358,106.767,106.787
944.061     ,10.3358,106.773,106.791
1000.       ,10.3358,106.78 ,106.795
1059.25     ,10.3358,106.785,106.799
1122.02     ,10.3358,106.79 ,106.803
1188.5      ,10.3358,106.794,106.805
1258.93     ,10.3358,106.798,106.808
1333.52     ,10.3359,106.801,106.81
1412.54     ,10.3359,106.804,106.813
1496.23     ,10.3359,106.807,106.814
1584.89     ,10.3359,106.81 ,106.816
1678.81     ,10.3359,106.812,106.818
1778.28     ,10.3359,106.814,106.819
1883.65     ,10.3359,106.816,106.82
1995.26     ,10.3359,106.817,106.821
2113.49     ,10.3359,106.818,106.822
2238.72     ,10.3359,106.82 ,106.823
2371.37     ,10.3359,106.821,106.824
2511.89     ,10.3359,106.822,106.825
2660.72     ,10.3359,106.823,106.825
2818.4      ,10.3359,106.824,106.826
2985.38     ,10.3359,106.824,106.826
3162.28     ,10.3359,106.825,106.827
3349.66     ,10.3359,106.825,106.827
3548.14     ,10.3359,106.826,106.827
3758.37     ,10.3359,106.826,106.828
3981.07     ,10.3359,106.827,106.828
4216.97     ,10.3359,106.827,106.828
4466.84     ,10.3359,106.828,106.828
4731.51     ,10.3359,106.828,106.829
5011.87     ,10.3359,106.828,106.829
5308.84     ,10.3359,106.828,106.829
5623.43     ,10.3359,106.829,106.829
5956.64     ,10.3359,106.829,106.829
6309.59     ,10.3359,106.829,106.829
6683.46     ,10.3359,106.829,106.829
7079.46     ,10.3359,106.829,106.83
7498.94     ,10.3359,106.829,106.83
7943.28     ,10.3359,106.829,106.83
8413.95     ,10.3359,106.83 ,106.83
8912.53     ,10.3359,106.83 ,106.83
9440.61     ,10.3359,106.83 ,106.83
10000.      ,10.3359,106.83 ,106.83
10592.6     ,10.3359,106.83 ,106.83
11220.2     ,10.3359,106.83 ,106.83
11885.      ,10.3359,106.83 ,106.83
12589.2     ,10.3359,106.83 ,106.83
